tariff_item,ship_type,rate,unit
Entrance dues,commercial_non_tanker,1.92,USD_cents_per_GT
Loading_discharge_dues_at_berth,commercial_non_tanker,3.19,USD_cents_per_ton
Light dues,commercial_non_tanker,3.83,USD_cents_per_GT
Ship_clearance_group_charges_foreign_entry,commercial_non_tanker,3,USD_cents_per_GT
Pilotage_charges_round_trip,commercial_non_tanker,19.16,USD_cents_per_GT
Dredging_and_channel_safety_dues,commercial_non_tanker,19.9,USD_cents_per_GT
Tug_operation_charges,commercial_non_tanker,38.34,USD_cents_per_GT
Marine_safety_and_protection,commercial_non_tanker,12.82,USD_cents_per_GT
Entrance dues,oil_tanker_and_STS,16,USD_cents_per_GT
Loading_discharge_dues_at_berth,oil_tanker_and_STS,24,USD_cents_per_ton
Light dues,oil_tanker_and_STS,4,USD_cents_per_GT
Pilotage_charges_per_trip,oil_tanker_and_STS,40,USD_cents_per_GT
Dredging_and_channel_safety_dues,oil_tanker_and_STS,41,USD_cents_per_GT
Wharfage_dues,oil_tanker_and_STS,0.45,USD_cents_per_GT_per_hour
Ship_clearance_group_charges_foreign_entry,oil_tanker_and_STS,3,USD_cents_per_GT
