storage_period_days,container_size,status,charge_rial,charge_usd_nominal,charge_usd_real_2015,currency_conversion_note
1-5,20ft,full,0,0.0,0.0,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-5,20ft,empty,0,0.0,0.0,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-5,40ft,full,0,0.0,0.0,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-5,40ft,empty,0,0.0,0.0,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-10,20ft,full,300300,0.4837,0.9061,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-10,20ft,empty,150800,0.2429,0.455,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-10,40ft,full,598000,0.9632,1.8044,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-10,40ft,empty,300300,0.4837,0.9061,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-20,20ft,full,443300,0.7141,1.3376,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-20,20ft,empty,223600,0.3602,0.6747,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-20,40ft,full,846300,1.3632,2.5536,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-20,40ft,empty,452400,0.7287,1.3651,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-30,20ft,full,646100,1.0407,1.9496,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-30,20ft,empty,325000,0.5235,0.9807,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-30,40ft,full,1188200,1.9139,3.5853,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-30,40ft,empty,596700,0.9611,1.8005,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-60,20ft,full,799500,1.2878,2.4124,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-60,20ft,empty,505700,0.8146,1.5259,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-60,40ft,full,1384500,2.2301,4.1776,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-60,40ft,empty,607100,0.9779,1.8319,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-90,20ft,full,1010100,1.627,3.0479,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-90,20ft,empty,581100,0.936,1.7534,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-90,40ft,full,1600300,2.5777,4.8288,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
1-90,40ft,empty,855400,1.3779,2.5811,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
after_90,20ft,full,1314300,2.117,3.9658,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
after_90,20ft,empty,659100,1.0617,1.9888,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
after_90,40ft,full,1840800,2.9651,5.5545,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
after_90,40ft,empty,897000,1.4449,2.7066,"charge_rial: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2024=620822.0731707317, rebased CPI_2024=984.4444)"
