year,iranian,non_iranian,not_specified,total,notes
1939,15060,2723,,17783,"1939-49 and 1951 figures include only Anglo-Iranian Oil Company (AIOC) employees"
1940,13380,2273,,15653,
1941,10986,2079,,13065,
1942,11654,1803,,13457,
1943,16389,2864,,19253,
1944,16485,3380,,19865,"Total for 1939-44 known to be understated due to lack of contract-labor data"
1945,21781,4030,12143,37954,
1946,24889,4520,12461,41870,
1947,28221,4228,11065,43514,
1948,29917,4306,12189,46412,
1949,32011,4477,16410,52898,
1950,,,,,"Not available"
1951,50662,4271,12951,67884,"Year of oil nationalization"
1952-54,,,,,"Not available (nationalization crisis period, AIOC exports negligible)"
1955,48799,280,8921,58000,"1955-59 figures include the Consortium, NIOC, SIRIP, IPAC, IRCAN, and contract labor of the Consortium where applicable. Total includes 51,945 Consortium employees + estimated 6,055 NIOC employees"
1956,52668,453,10026,63147,"Iranian/Non-Iranian split does not include NIOC staff (not reported by nationality this year; included under not-specified)"
1957,47940,0,15363,63303,"Excludes Consortium and NIOC staff not reported by nationality this year (included under not-specified)"
1958,56611,693,4724,62028,
1959,56616,908,4295,61819,
1960,,,,58894,"Iranian/Non-Iranian/not-specified breakdown not available; total includes Consortium employees as of December 1960 and NIOC employees as of November 1960"
