year,mode,metric,value,unit,source,notes
1886,rail,tehran_suburban_narrowgauge_length,8.7,km,"Wikipedia: Rail transport in Iran","First railway in Iran -- horse-drawn initially, later steam, 1000mm narrow gauge, south of Tehran; closed 1952"
1914,rail,tabriz_jolfa_line_length,146,km,"Wikipedia: Rail transport in Iran","Pre-Trans-Iranian-Railway regional line in the northwest"
1916,rail,sufiyan_sharafkhaneh_line_length,53,km,"Wikipedia: Rail transport in Iran",""
1920,rail,mirjaveh_zahedan_line_length,93,km,"Wikipedia: Rail transport in Iran","Southeastern border line toward British India/Pakistan"
1922,road,road_authority_founding_date,1922-04-01,date,"Parstimes.com: Brief History of Ministry of Road & Transportation (citing Iranian Ministry of Road records)","General Department for Roads (Edareh-ye Koll-e Tor'oq) established for road construction and maintenance -- the institutional starting point of Iran's modern road system"
1925,road,road_authority_annual_budget_after_tax_reform,15000000,rials,"Parstimes.com: Brief History of Ministry of Road & Transportation","Budget increased from an initial cap of 3,000,000 rials (funded by passage/toll fees) to 15,000,000 rials funded via export/import taxation"
1926,road,planned_road_construction_9yr_program,17021,km,"Parstimes.com: Brief History of Ministry of Road & Transportation","1926 program planned construction of first/second/third-degree roads over nine years at a budget of 450 million rials -- a planning TARGET, not a confirmed completion figure"
1927,rail,trans_iranian_railway_construction_start,1927,year,"Wikipedia: Trans-Iranian Railway","Reza Shah-era flagship infrastructure project, funded entirely by domestic taxation (not foreign loans) to avoid foreign control"
1929,road,road_authority_elevated_to_ministry,1929-03-17,date,"Parstimes.com: Brief History of Ministry of Road & Transportation","General Department for Roads elevated to full ministry status"
1938,rail,trans_iranian_railway_total_length,1394,km,"Wikipedia: Trans-Iranian Railway","Route: Bandar Shah (Caspian Sea, now Bandar Torkaman) to Bandar Shahpur (Persian Gulf, now Bandar-e Emam Khomeyni), via Tehran, Qom, Ahvaz. A companion source (UNESCO World Heritage listing text, via Wikipedia cross-reference) gives 1,392 km -- both figures recorded as essentially the same measurement with minor rounding/routing differences, not a substantive contested estimate"
1938,rail,trans_iranian_railway_completion_date,1938-08-26,date,"Wikipedia: Trans-Iranian Railway","Formally opened throughout on this date under Reza Shah; built by 43 international construction contractors under Danish engineering firm Kampsax, completed under budget and ahead of schedule"
1938,rail,trans_iranian_railway_large_bridges,174,count,"Wikipedia: Trans-Iranian Railway","Construction required extensive mountain-cutting and bridge/tunnel work through the Alborz and Zagros ranges"
1938,rail,trans_iranian_railway_small_bridges,186,count,"Wikipedia: Trans-Iranian Railway",""
1938,rail,trans_iranian_railway_tunnels,224,count,"Wikipedia: Trans-Iranian Railway","Includes 11 spiral tunnels; longest tunnel 2.4 km. NOTE: a companion Wikipedia page ('Rail transport in Iran') gives a different, lower tunnel count (105 tunnels, 120km total) but that figure describes the MODERN full national network as of the 2000s, not the original 1938 Trans-Iranian line specifically -- not a contradiction, different scope, kept distinct by row"
1941,road,road_network_length_reza_shah_reign_end,24000,km,"WebSearch synthesis of multiple sources (nationsencyclopedia.com-derived and parstimes.com-adjacent); cross-checked against a second figure of 22,526km 'roads in good condition' for the same year","Growth from a starting point of roughly 3,900km at the outset of the Pahlavi era (1925) to ~24,000km by the end of Reza Shah's reign (1941). The two 1941 figures (24,000 vs 22,526km) likely reflect 'total network' vs. 'roads in good/passable condition' respectively -- both recorded, not resolved to one number, per contested-estimate policy"
