fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
(fixed basket weight),,Foodstuffs,Weight in Index Basket,54,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Foodstuffs,Cost of Living Index (Dec 1955=100),109,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Foodstuffs,Cost of Living Index (Dec 1955=100),109,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Foodstuffs,Cost of Living Index (Dec 1955=100),106,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Foodstuffs,Cost of Living Index (Dec 1955=100),,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
(fixed basket weight),,Textiles,Weight in Index Basket,18,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Textiles,Cost of Living Index (Dec 1955=100),104,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Textiles,Cost of Living Index (Dec 1955=100),110,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Textiles,Cost of Living Index (Dec 1955=100),116,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Textiles,Cost of Living Index (Dec 1955=100),,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
(fixed basket weight),,Fuel and light,Weight in Index Basket,10,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Fuel and light,Cost of Living Index (Dec 1955=100),114,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Fuel and light,Cost of Living Index (Dec 1955=100),124,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Fuel and light,Cost of Living Index (Dec 1955=100),123,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Fuel and light,Cost of Living Index (Dec 1955=100),,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
(fixed basket weight),,Sundries,Weight in Index Basket,6,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Sundries,Cost of Living Index (Dec 1955=100),107,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Sundries,Cost of Living Index (Dec 1955=100),114,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Sundries,Cost of Living Index (Dec 1955=100),115,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Sundries,Cost of Living Index (Dec 1955=100),,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
(fixed basket weight),,Rent,Weight in Index Basket,12,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Rent,Cost of Living Index (Dec 1955=100),116,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Rent,Cost of Living Index (Dec 1955=100),127,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Rent,Cost of Living Index (Dec 1955=100),144,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Rent,Cost of Living Index (Dec 1955=100),,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
(fixed basket weight),,Total,Weight in Index Basket,100,percent of total basket,,IRN,wb1960-table9-cost-of-living-index
Dec 1956,1956,Total,Cost of Living Index (Dec 1955=100),109,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1957,1957,Total,Cost of Living Index (Dec 1955=100),113,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Dec 1958,1958,Total,Cost of Living Index (Dec 1955=100),119,"index, Dec 1955=100",,IRN,wb1960-table9-cost-of-living-index
Sept 1959,1959,Total,Cost of Living Index (Dec 1955=100),137,"index, Dec 1955=100","Printed in source as '137 (provisional)' -- 'provisional' flag preserved, numeric value used as-is",IRN,wb1960-table9-cost-of-living-index
