fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1950,1950,Wheat,Production,2000,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1951,1951,Wheat,Production,1800,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1952,1952,Wheat,Production,2057,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1953,1953,Wheat,Production,2125,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1954,1954,Wheat,Production,2100,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1955,1955,Wheat,Production,2300,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1956,1956,Wheat,Production,2250,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1957,1957,Wheat,Production,2800,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1958,1958,Wheat,Production,2700,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1950,1950,Barley,Production,800,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1951,1951,Barley,Production,720,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1952,1952,Barley,Production,840,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1953,1953,Barley,Production,820,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1954,1954,Barley,Production,824,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1955,1955,Barley,Production,880,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1956,1956,Barley,Production,880,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1957,1957,Barley,Production,1000,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1958,1958,Barley,Production,950,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1950,1950,Rice (milled),Production,285,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1951,1951,Rice (milled),Production,250,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1952,1952,Rice (milled),Production,295,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1953,1953,Rice (milled),Production,350,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1954,1954,Rice (milled),Production,368,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1955,1955,Rice (milled),Production,225,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1956,1956,Rice (milled),Production,350,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1957,1957,Rice (milled),Production,340,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1958,1958,Rice (milled),Production,320,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1950,1950,Other grains,Production,62,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1951,1951,Other grains,Production,56,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1952,1952,Other grains,Production,65,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1953,1953,Other grains,Production,65,1000 metric tons,,IRN,wb1960-table5-agricultural-production
1954,1954,Other grains,Production,60,1000 metric tons,,IRN,wb1960-table5-agricultural-production
