fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1956/57,1957,Raw cotton,Export Value,22.3,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Raw cotton,Share of Total Exports,21.3,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Raw cotton,Export Value,25.4,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Raw cotton,Share of Total Exports,23.0,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Raw cotton,Export Value,19.4,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Raw cotton,Share of Total Exports,18.5,percent,,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Carpets,Export Value,17.1,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Carpets,Share of Total Exports,16.3,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Carpets,Export Value,19.5,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Carpets,Share of Total Exports,17.7,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Carpets,Export Value,17.4,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Carpets,Share of Total Exports,16.7,percent,,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Fruits,Export Value,18.1,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Fruits,Share of Total Exports,17.3,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Fruits,Export Value,19.8,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Fruits,Share of Total Exports,18.0,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Fruits,Export Value,20.4,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Fruits,Share of Total Exports,19.4,percent,,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Wool,Export Value,8.9,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Wool,Share of Total Exports,8.5,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Wool,Export Value,7.3,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Wool,Share of Total Exports,6.6,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Wool,Export Value,9.3,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Wool,Share of Total Exports,8.9,percent,,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Hides and skins,Export Value,3.9,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Hides and skins,Share of Total Exports,3.7,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Hides and skins,Export Value,4.8,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Hides and skins,Share of Total Exports,4.4,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Hides and skins,Export Value,6.0,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Hides and skins,Share of Total Exports,5.7,percent,,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Rice,Export Value,0.4,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1956/57,1957,Rice,Share of Total Exports,0.4,percent,,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Rice,Export Value,0.6,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1957/58,1958,Rice,Share of Total Exports,0.5,percent,,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Rice,Export Value,0.3,US dollar millions,Oil/petroleum exports excluded from this table (reported separately) -- see pahlavi_oil_energy_series/,IRN,wb1960-table16-exports-by-commodities
1958/59,1959,Rice,Share of Total Exports,0.3,percent,,IRN,wb1960-table16-exports-by-commodities
