fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1950/51,1951,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,189,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1950/51,1951,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,658,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1950/51,1951,Ocean Trade Tonnage (Excl. Petroleum Products),Total,847,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1951/52,1952,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,283,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1951/52,1952,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,408,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1951/52,1952,Ocean Trade Tonnage (Excl. Petroleum Products),Total,691,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1952/53,1953,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,351,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1952/53,1953,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,254,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1952/53,1953,Ocean Trade Tonnage (Excl. Petroleum Products),Total,605,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1953/54,1954,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,443,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1953/54,1954,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,460,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1953/54,1954,Ocean Trade Tonnage (Excl. Petroleum Products),Total,903,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1954/55,1955,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,480,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1954/55,1955,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,581,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1954/55,1955,Ocean Trade Tonnage (Excl. Petroleum Products),Total,1061,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1955/56,1956,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,508,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1955/56,1956,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,891,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1955/56,1956,Ocean Trade Tonnage (Excl. Petroleum Products),Total,1399,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1956/57,1957,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,464,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1956/57,1957,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,1004,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1956/57,1957,Ocean Trade Tonnage (Excl. Petroleum Products),Total,1468,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1957/58,1958,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,437,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1957/58,1958,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,966,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1957/58,1958,Ocean Trade Tonnage (Excl. Petroleum Products),Total,1403,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1958/59,1959,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1958/59,1959,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1958/59,1959,Ocean Trade Tonnage (Excl. Petroleum Products),Total,,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1959/60,1960,Ocean Trade Tonnage (Excl. Petroleum Products),Exports,310,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1959/60,1960,Ocean Trade Tonnage (Excl. Petroleum Products),Imports,1060,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
1959/60,1960,Ocean Trade Tonnage (Excl. Petroleum Products),Total,1370,1000 metric tons,,IRN,wb1962-transporttable7-ocean-trade
