year,end_use_category,billion_1982_rubles_factor_cost
1950,Consumption,102.2
1951,Consumption,101.6
1952,Consumption,108.0
1953,Consumption,115.0
1954,Consumption,121.7
1955,Consumption,128.3
1956,Consumption,134.2
1957,Consumption,143.8
1958,Consumption,154.1
1959,Consumption,160.5
1960,Consumption,168.1
1961,Consumption,174.0
1962,Consumption,181.2
1963,Consumption,190.0
1964,Consumption,191.5
1965,Consumption,201.1
1966,Consumption,211.9
1967,Consumption,224.1
1968,Consumption,237.3
1969,Consumption,249.0
1970,Consumption,260.1
1971,Consumption,269.7
1972,Consumption,275.7
1973,Consumption,285.3
1974,Consumption,296.3
1975,Consumption,308.3
1976,Consumption,314.4
1977,Consumption,321.6
1978,Consumption,329.1
1979,Consumption,338.3
1980,Consumption,348.2
1981,Consumption,354.8
1982,Consumption,357.5
1983,Consumption,365.7
1984,Consumption,376.9
1985,Consumption,385.1
1986,Consumption,391.6
1987,Consumption,402.2
1950,Investment,26.8
1951,Investment,32.3
1952,Investment,32.0
1953,Investment,36.9
1954,Investment,39.9
1955,Investment,47.6
1956,Investment,52.9
1957,Investment,58.9
1958,Investment,64.4
1959,Investment,71.6
1960,Investment,75.0
1961,Investment,83.7
1962,Investment,86.5
1963,Investment,79.7
1964,Investment,96.9
1965,Investment,106.4
1966,Investment,106.3
1967,Investment,109.9
1968,Investment,116.2
1969,Investment,123.2
1970,Investment,138.9
1971,Investment,144.1
1972,Investment,149.1
1973,Investment,160.5
1974,Investment,168.7
1975,Investment,169.5
1976,Investment,178.0
1977,Investment,184.2
1978,Investment,187.3
1979,Investment,186.9
1980,Investment,188.4
1981,Investment,193.8
1982,Investment,196.7
1983,Investment,205.8
1984,Investment,208.0
1985,Investment,214.6
1986,Investment,226.1
1987,Investment,228.9
1950,Other government expenditures,55.3
1951,Other government expenditures,51.5
1952,Other government expenditures,57.4
1953,Other government expenditures,54.1
1954,Other government expenditures,54.4
1955,Other government expenditures,58.4
1956,Other government expenditures,69.9
1957,Other government expenditures,59.6
1958,Other government expenditures,63.8
1959,Other government expenditures,64.0
1960,Other government expenditures,62.6
1961,Other government expenditures,65.4
1962,Other government expenditures,64.1
1963,Other government expenditures,54.5
1964,Other government expenditures,77.9
1965,Other government expenditures,79.5
1966,Other government expenditures,87.5
1967,Other government expenditures,89.8
1968,Other government expenditures,95.6
1969,Other government expenditures,83.4
1970,Other government expenditures,92.6
1971,Other government expenditures,91.4
1972,Other government expenditures,83.5
1973,Other government expenditures,105.8
1974,Other government expenditures,102.2
1975,Other government expenditures,91.4
1976,Other government expenditures,103.9
1977,Other government expenditures,104.3
1978,Other government expenditures,109.8
1979,Other government expenditures,97.7
1980,Other government expenditures,88.1
1981,Other government expenditures,82.0
1982,Other government expenditures,92.6
1983,Other government expenditures,95.8
1984,Other government expenditures,92.0
1985,Other government expenditures,83.2
1986,Other government expenditures,92.6
1987,Other government expenditures,88.8
1950,Gross national product,184.3
1951,Gross national product,185.3
1952,Gross national product,197.4
1953,Gross national product,206.0
1954,Gross national product,216.0
1955,Gross national product,234.4
1956,Gross national product,257.0
1957,Gross national product,262.4
1958,Gross national product,282.3
1959,Gross national product,296.1
1960,Gross national product,305.7
1961,Gross national product,323.1
1962,Gross national product,331.8
1963,Gross national product,324.2
1964,Gross national product,366.4
1965,Gross national product,387.0
1966,Gross national product,405.7
1967,Gross national product,423.8
1968,Gross national product,449.0
1969,Gross national product,455.6
1970,Gross national product,491.6
1971,Gross national product,505.1
1972,Gross national product,508.3
1973,Gross national product,551.7
1974,Gross national product,567.2
1975,Gross national product,569.1
1976,Gross national product,596.4
1977,Gross national product,610.2
1978,Gross national product,626.2
1979,Gross national product,623.0
1980,Gross national product,624.7
1981,Gross national product,630.6
1982,Gross national product,646.7
1983,Gross national product,667.3
1984,Gross national product,676.9
1985,Gross national product,682.9
1986,Gross national product,710.3
1987,Gross national product,719.9
