comparison_group,country_and_census_year,population_thousands
1904 comparison,Russia (computed),144184.6
1904 comparison,United States (1900 census),76303.4
1904 comparison,Germany (1900 census),56367.2
1904 comparison,Austria-Hungary (1900 census),45405.3
1904 comparison,England (1900 census),41609.3
1904 comparison,France (1901 census),38961.9
1904 comparison,Italy (1901 census),32475.2
1904 comparison,Belgium (1900 census),6693.5
1904 comparison,Netherlands (computed to 1903),5347.1
1904 comparison,Denmark (1901 census),2585.7
1904 comparison,Norway (1900 census),2240.0
1910 comparison,Russia (computed),163778.8
1910 comparison,United States (1910),98402.2
1910 comparison,Germany (1910),65140.0
1910 comparison,Austria-Hungary (1907),48484.4
1910 comparison,England (1909),45008.4
1910 comparison,France (1908),39267.0
1910 comparison,Italy (1908),34129.8
1910 comparison,Belgium (1909),7451.9
1910 comparison,Romania (1909),6866.7
1910 comparison,Netherlands (1908),5786.2
1910 comparison,Sweden (1909),5476.4
1910 comparison,Bulgaria (1908),4189.7
1910 comparison,Switzerland (1910),3742.0
1910 comparison,Denmark (1908),2692.0
1910 comparison,Norway (1907),2829.7
1910 comparison,Japan (1908),49581.9
