year,flow,value_rubles,notes
1897,imports,559997870,"printed grand total, 1904 edition p.322"
1898,imports,617459439,"printed grand total, 1904 edition p.322"
1899,imports,650485044,"printed grand total, 1904 edition p.322"
1900,imports,626374878,"printed grand total, 1904 edition p.322"
1901,imports,593425456,"printed grand total, 1904 edition p.322"
1897-1901 average,imports,609548537,"printed 5-year average, 1904 edition p.322"
1902,imports,599150984,"printed grand total, 1904 edition p.322"
1897,exports,726623590,"printed grand total, 1904 edition p.323"
1898,exports,732672608,"printed grand total, 1904 edition p.323"
1899,exports,626982891,"printed grand total, 1904 edition p.323"
1900,exports,716417945,"printed grand total, 1904 edition p.323"
1901,exports,761582501,"printed grand total, 1904 edition p.323"
1897-1901 average,exports,712855907,"printed 5-year average, 1904 edition p.323"
1902,exports,860321932,"printed grand total, 1904 edition p.323"
1908,imports (European border),791249000,"printed subtotal, 1910 edition p.554"
1908,imports (Finnish border),30630000,"printed subtotal, 1910 edition p.554"
1908,imports (Asian border),180780000,"printed subtotal, 1910 edition p.554"
1908,"imports, all borders",1002659000,computed by us as the sum of the 3 printed border subtotals above -- not a single printed cell on the page crop captured
1908,exports (European border),816491000,"printed subtotal, 1910 edition p.555"
1908,exports (Finnish border),48762000,"printed subtotal, 1910 edition p.555"
1908,exports (Asian border),132997000,"printed subtotal, 1910 edition p.555"
1908,"exports, all borders",998250000,computed by us as the sum of the 3 printed border subtotals above -- not a single printed cell on the page crop captured
