year,series,value,notes
1960,USSR,26.4,billion 1970 rubles
1960,United States,42.0,billion 1970 rubles
1960,USSR/US ratio (%),62.9,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1961,USSR,29.3,billion 1970 rubles
1961,United States,41.8,billion 1970 rubles
1961,USSR/US ratio (%),67.3,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1962,USSR,32.6,billion 1970 rubles
1962,United States,47.3,billion 1970 rubles
1962,USSR/US ratio (%),68.9,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1963,USSR,33.1,billion 1970 rubles
1963,United States,47.6,billion 1970 rubles
1963,USSR/US ratio (%),69.5,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1964,USSR,35.0,billion 1970 rubles
1964,United States,44.3,billion 1970 rubles
1964,USSR/US ratio (%),75.6,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1965,USSR,35.4,billion 1970 rubles
1965,United States,47.3,billion 1970 rubles
1965,USSR/US ratio (%),74.9,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1966,USSR,,billion 1970 rubles
1966,United States,55.3,billion 1970 rubles
1966,USSR/US ratio (%),65.6,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1967,USSR,36.9,billion 1970 rubles
1967,United States,64.4,billion 1970 rubles
1967,USSR/US ratio (%),60.4,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1968,USSR,41.5,billion 1970 rubles
1968,United States,65.3,billion 1970 rubles
1968,USSR/US ratio (%),63.6,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1969,USSR,43.2,billion 1970 rubles
1969,United States,61.9,billion 1970 rubles
1969,USSR/US ratio (%),69.8,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1970,USSR,45.0,billion 1970 rubles
1970,United States,55.3,billion 1970 rubles
1970,USSR/US ratio (%),81.3,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1971,USSR,45.9,billion 1970 rubles
1971,United States,49.3,billion 1970 rubles
1971,USSR/US ratio (%),93.2,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1972,USSR,47.3,billion 1970 rubles
1972,United States,47.2,billion 1970 rubles
1972,USSR/US ratio (%),100.4,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1973,USSR,50.0,billion 1970 rubles
1973,United States,45.0,billion 1970 rubles
1973,USSR/US ratio (%),111.2,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1974,USSR,53.1,billion 1970 rubles
1974,United States,44.7,billion 1970 rubles
1974,USSR/US ratio (%),118.6,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1975,USSR,55.7,billion 1970 rubles
1975,United States,43.9,billion 1970 rubles
1975,USSR/US ratio (%),126.9,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1976,USSR,59.7,billion 1970 rubles
1976,United States,44.0,billion 1970 rubles
1976,USSR/US ratio (%),135.8,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1977,USSR,60.3,billion 1970 rubles
1977,United States,44.8,billion 1970 rubles
1977,USSR/US ratio (%),134.7,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1978,USSR,61.3,billion 1970 rubles
1978,United States,45.0,billion 1970 rubles
1978,USSR/US ratio (%),136.3,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1979,USSR,62.0,billion 1970 rubles
1979,United States,46.1,billion 1970 rubles
1979,USSR/US ratio (%),134.5,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1980,USSR,64.3,billion 1970 rubles
1980,United States,46.8,billion 1970 rubles
1980,USSR/US ratio (%),131.8,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
1981,USSR,66.4,billion 1970 rubles
1981,United States,52.2,billion 1970 rubles
1981,USSR/US ratio (%),127.2,ratio >100 from early 1970s = Soviet defense spending exceeded US in ruble-valuation terms
