year,series,value,notes
1960,USSR,224.9,billion 1970 rubles
1960,United States,590.6,billion 1970 rubles
1960,USSR/US ratio (%),38.1,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1961,USSR,237.5,billion 1970 rubles
1961,United States,600.2,billion 1970 rubles
1961,USSR/US ratio (%),39.6,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1962,USSR,246.7,billion 1970 rubles
1962,United States,635.9,billion 1970 rubles
1962,USSR/US ratio (%),38.8,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1963,USSR,242.9,billion 1970 rubles
1963,United States,668.2,billion 1970 rubles
1963,USSR/US ratio (%),36.4,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1964,USSR,269.3,billion 1970 rubles
1964,United States,701.7,billion 1970 rubles
1964,USSR/US ratio (%),38.3,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1965,USSR,286.1,billion 1970 rubles
1965,United States,751.4,billion 1970 rubles
1965,USSR/US ratio (%),38.1,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1966,USSR,301.6,billion 1970 rubles
1966,United States,795.1,billion 1970 rubles
1966,USSR/US ratio (%),37.9,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1967,USSR,317.1,billion 1970 rubles
1967,United States,804.8,billion 1970 rubles
1967,USSR/US ratio (%),39.2,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1968,USSR,337.3,billion 1970 rubles
1968,United States,844.6,billion 1970 rubles
1968,USSR/US ratio (%),39.9,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1969,USSR,346.1,billion 1970 rubles
1969,United States,864.1,billion 1970 rubles
1969,USSR/US ratio (%),40.3,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1970,USSR,375.3,billion 1970 rubles
1970,United States,855.4,billion 1970 rubles
1970,USSR/US ratio (%),43.9,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1971,USSR,389.7,billion 1970 rubles
1971,United States,845.3,billion 1970 rubles
1971,USSR/US ratio (%),44.0,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1972,USSR,396.4,billion 1970 rubles
1972,United States,938.8,billion 1970 rubles
1972,USSR/US ratio (%),42.3,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1973,USSR,423.6,billion 1970 rubles
1973,United States,997.2,billion 1970 rubles
1973,USSR/US ratio (%),42.5,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1974,USSR,440.5,billion 1970 rubles
1974,United States,972.1,billion 1970 rubles
1974,USSR/US ratio (%),45.3,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1975,USSR,430.1,billion 1970 rubles
1975,United States,955.8,billion 1970 rubles
1975,USSR/US ratio (%),47.1,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1976,USSR,470.5,billion 1970 rubles
1976,United States,1017.8,billion 1970 rubles
1976,USSR/US ratio (%),46.2,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1977,USSR,485.8,billion 1970 rubles
1977,United States,1075.7,billion 1970 rubles
1977,USSR/US ratio (%),45.2,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1978,USSR,500.9,billion 1970 rubles
1978,United States,1128.1,billion 1970 rubles
1978,USSR/US ratio (%),44.4,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1979,USSR,502.8,billion 1970 rubles
1979,United States,1154.9,billion 1970 rubles
1979,USSR/US ratio (%),43.5,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1980,USSR,510.5,billion 1970 rubles
1980,United States,1138.8,billion 1970 rubles
1980,USSR/US ratio (%),44.8,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
1981,USSR,521.2,billion 1970 rubles
1981,United States,1157.3,billion 1970 rubles
1981,USSR/US ratio (%),43.0,"ruble valuation only, NOT comparable to the geometric-mean series in cia_soviet_gnp_pct_of_us_gnp_1960_1983.csv"
