year,indicator,value
1950,Consumer goods (rub/capita),394.2
1951,Consumer goods (rub/capita),391.6
1952,Consumer goods (rub/capita),416.9
1953,Consumer goods (rub/capita),448.6
1954,Consumer goods (rub/capita),473.4
1955,Consumer goods (rub/capita),497.1
1956,Consumer goods (rub/capita),514.5
1957,Consumer goods (rub/capita),549.6
1958,Consumer goods (rub/capita),579.6
1959,Consumer goods (rub/capita),589.0
1960,Consumer goods (rub/capita),607.0
1961,Consumer goods (rub/capita),616.0
1962,Consumer goods (rub/capita),632.5
1963,Consumer goods (rub/capita),646.1
1964,Consumer goods (rub/capita),642.3
1965,Consumer goods (rub/capita),668.4
1966,Consumer goods (rub/capita),701.4
1967,Consumer goods (rub/capita),742.9
1968,Consumer goods (rub/capita),785.3
1969,Consumer goods (rub/capita),828.0
1970,Consumer goods (rub/capita),866.0
1971,Consumer goods (rub/capita),895.1
1972,Consumer goods (rub/capita),911.0
1973,Consumer goods (rub/capita),930.2
1974,Consumer goods (rub/capita),964.1
1975,Consumer goods (rub/capita),1001.3
1976,Consumer goods (rub/capita),1019.6
1977,Consumer goods (rub/capita),1041.3
1978,Consumer goods (rub/capita),1049.6
1979,Consumer goods (rub/capita),1075.5
1980,Consumer goods (rub/capita),1103.1
1981,Consumer goods (rub/capita),1117.7
1982,Consumer goods (rub/capita),1099.6
1983,Consumer goods (rub/capita),1113.1
1984,Consumer goods (rub/capita),1137.4
1985,Consumer goods (rub/capita),1133.7
1986,Consumer goods (rub/capita),1108.1
1987,Consumer goods (rub/capita),1114.4
1950,Consumer services (rub/capita),110.2
1951,Consumer services (rub/capita),112.5
1952,Consumer services (rub/capita),115.8
1953,Consumer services (rub/capita),118.5
1954,Consumer services (rub/capita),124.0
1955,Consumer services (rub/capita),130.2
1956,Consumer services (rub/capita),132.8
1957,Consumer services (rub/capita),136.4
1958,Consumer services (rub/capita),141.4
1959,Consumer services (rub/capita),147.2
1960,Consumer services (rub/capita),153.0
1961,Consumer services (rub/capita),159.2
1962,Consumer services (rub/capita),166.2
1963,Consumer services (rub/capita),173.3
1964,Consumer services (rub/capita),181.6
1965,Consumer services (rub/capita),190.6
1966,Consumer services (rub/capita),198.5
1967,Consumer services (rub/capita),206.6
1968,Consumer services (rub/capita),215.9
1969,Consumer services (rub/capita),224.2
1970,Consumer services (rub/capita),232.7
1971,Consumer services (rub/capita),239.7
1972,Consumer services (rub/capita),246.0
1973,Consumer services (rub/capita),252.0
1974,Consumer services (rub/capita),260.6
1975,Consumer services (rub/capita),268.2
1976,Consumer services (rub/capita),274.9
1977,Consumer services (rub/capita),277.4
1978,Consumer services (rub/capita),283.8
1979,Consumer services (rub/capita),290.3
1980,Consumer services (rub/capita),295.9
1981,Consumer services (rub/capita),300.1
1982,Consumer services (rub/capita),305.5
1983,Consumer services (rub/capita),309.7
1984,Consumer services (rub/capita),315.2
1985,Consumer services (rub/capita),320.9
1986,Consumer services (rub/capita),325.9
1987,Consumer services (rub/capita),335.1
1950,Total consumption (rub/capita),504.4
1951,Total consumption (rub/capita),504.1
1952,Total consumption (rub/capita),532.7
1953,Total consumption (rub/capita),567.1
1954,Total consumption (rub/capita),597.5
1955,Total consumption (rub/capita),627.3
1956,Total consumption (rub/capita),647.2
1957,Total consumption (rub/capita),686.0
1958,Total consumption (rub/capita),721.0
1959,Total consumption (rub/capita),736.2
1960,Total consumption (rub/capita),760.0
1961,Total consumption (rub/capita),775.2
1962,Total consumption (rub/capita),798.7
1963,Total consumption (rub/capita),819.4
1964,Total consumption (rub/capita),823.9
1965,Total consumption (rub/capita),859.0
1966,Total consumption (rub/capita),899.9
1967,Total consumption (rub/capita),949.6
1968,Total consumption (rub/capita),1001.2
1969,Total consumption (rub/capita),1052.2
1970,Total consumption (rub/capita),1098.7
1971,Total consumption (rub/capita),1134.8
1972,Total consumption (rub/capita),1157.0
1973,Total consumption (rub/capita),1182.2
1974,Total consumption (rub/capita),1224.7
1975,Total consumption (rub/capita),1269.5
1976,Total consumption (rub/capita),1294.6
1977,Total consumption (rub/capita),1318.7
1978,Total consumption (rub/capita),1333.4
1979,Total consumption (rub/capita),1365.8
1980,Total consumption (rub/capita),1399.1
1981,Total consumption (rub/capita),1417.7
1982,Total consumption (rub/capita),1405.1
1983,Total consumption (rub/capita),1422.8
1984,Total consumption (rub/capita),1452.6
1985,Total consumption (rub/capita),1454.5
1986,Total consumption (rub/capita),1434.0
1987,Total consumption (rub/capita),1449.5
1950,Population (million persons),180.1
1951,Population (million persons),183.0
1952,Population (million persons),186.0
1953,Population (million persons),190.0
1954,Population (million persons),193.0
1955,Population (million persons),196.2
1956,Population (million persons),199.7
1957,Population (million persons),203.2
1958,Population (million persons),206.8
1959,Population (million persons),210.5
1960,Population (million persons),214.3
1961,Population (million persons),218.1
1962,Population (million persons),221.7
1963,Population (million persons),225.1
1964,Population (million persons),228.1
1965,Population (million persons),230.9
1966,Population (million persons),233.5
1967,Population (million persons),236.0
1968,Population (million persons),238.3
1969,Population (million persons),240.6
1970,Population (million persons),242.8
1971,Population (million persons),245.1
1972,Population (million persons),247.5
1973,Population (million persons),249.8
1974,Population (million persons),252.1
1975,Population (million persons),254.8
1976,Population (million persons),256.7
1977,Population (million persons),258.9
1978,Population (million persons),261.2
1979,Population (million persons),263.4
1980,Population (million persons),266.4
1981,Population (million persons),268.7
1982,Population (million persons),271.1
1983,Population (million persons),273.6
1984,Population (million persons),276.3
1985,Population (million persons),278.9
1986,Population (million persons),281.5
1987,Population (million persons),284.0
