year,country,persons_per_sq_verst
1904,Belgium,258.6
1904,Netherlands,163.2
1904,England,155.3
1904,Italy,131.0
1904,Germany,118.6
1904,Switzerland,91.2
1904,Austria-Hungary,82.6
1904,France,83.1
1904,Portugal,69.2
1904,Greece,54.0
1904,Turkey,40.6
1904,Spain,42.3
1904,Denmark,19.7
1904,Sweden,13.0
1904,Norway,7.8
1904,Russia (Empire average),7.6
1910,Belgium,273.1
1910,Netherlands,177.2
1910,England,157.7
1910,Italy,132.0
1910,Germany,127.5
1910,Austria-Hungary,85.6
1910,France,83.1
1910,Denmark,20.5
1910,Sweden,18.6
1910,United States,10.6
1910,Norway,8.1
1910,Russia (Empire average),8.5
