date_label,cattle_million_head,of_which_cows_million_head,pigs_million_head,sheep_and_goats_million_head
1916 (in current USSR borders),58.4,28.8,23.0,96.3
1916 (in USSR borders before 17 Sep 1939),51.7,24.9,17.3,88.7
1928 (in current USSR borders),66.8,33.2,27.7,114.6
1928 (in USSR borders before 17 Sep 1939),60.1,29.3,22.0,107.0
1930,50.6,28.5,14.2,93.3
1931,42.5,24.5,11.7,68.1
1932,38.3,22.3,10.9,47.6
1933,33.5,19.4,9.9,37.3
1934,33.5,19.0,11.5,36.5
1935,38.9,19.0,17.1,40.8
1936,46.0,20.0,25.9,49.9
1937,47.5,20.9,20.0,53.8
1938,50.9,22.7,25.7,66.6
1939,53.5,24.0,25.2,80.9
1940,47.8,22.8,22.5,76.7
1941,54.5,27.8,27.5,91.6
1946,47.6,22.9,10.6,70.0
1947,47.0,23.0,8.7,69.3
1948,50.1,23.8,9.7,76.8
1949,54.8,24.2,15.2,85.6
1950,58.1,24.6,22.2,93.6
1951,57.1,24.3,24.4,99.0
1952,58.8,24.9,27.1,107.6
1953,56.6,24.3,28.5,109.9
1953 (Oct 1),63.0,26.0,47.6,135.9
1954 (Oct 1),64.9,27.5,51.1,136.8
1955 (Oct 1),67.1,29.2,52.2,142.6
1956 (Oct 1),70.4,30.9,56.5,145.7
