date,region,population_thousands
1858 (10th Revision),European Russia,59415.4
1858 (10th Revision),Vistula governorates (Congress Poland),4764.4
1858 (10th Revision),Caucasus,4308.5
1858 (10th Revision),Siberia,4321.3
1858 (10th Revision),Central Asian oblasts,
1858 (10th Revision),Empire proper subtotal (excl. Finland),72809.6
1858 (10th Revision),Finland,1746.7
1858 (10th Revision),Empire total (incl. Finland),74556.3
1897 (census),European Russia,94215.4
1897 (census),Vistula governorates (Congress Poland),9455.9
1897 (census),Caucasus,9248.7
1897 (census),Siberia,5699.0
1897 (census),Central Asian oblasts,5721.7
1897 (census),Empire proper subtotal (excl. Finland),124340.7
1897 (census),Finland,2555.5
1897 (census),Empire total (incl. Finland),126896.2
1904-01-01 (administrative estimate),European Russia,105650.9
1904-01-01 (administrative estimate),Vistula governorates (Congress Poland),10607.3
1904-01-01 (administrative estimate),Caucasus,10057.1
1904-01-01 (administrative estimate),Siberia,6493.4
1904-01-01 (administrative estimate),Central Asian oblasts,8595.2
1904-01-01 (administrative estimate),Empire proper subtotal (excl. Finland),141403.9
1904-01-01 (administrative estimate),Finland,2780.7
1904-01-01 (administrative estimate),Empire total (incl. Finland),144184.6
1910-01-01 (administrative estimate),European Russia,118690.6
1910-01-01 (administrative estimate),Vistula governorates (Congress Poland),12129.2
1910-01-01 (administrative estimate),Caucasus,11735.1
1910-01-01 (administrative estimate),Siberia,8220.1
1910-01-01 (administrative estimate),Central Asian oblasts,9973.4
1910-01-01 (administrative estimate),Empire proper subtotal (excl. Finland),160748.4
1910-01-01 (administrative estimate),Finland,3030.4
1910-01-01 (administrative estimate),Empire total (incl. Finland),163778.8
