machine_type,unit,year,value,notes
"Seeders, 24-row (tractor-drawn)",units,1928.5,6,1928/29 economic year
"Seeders, 24-row (tractor-drawn)",units,1929.5,3589,1929/30 economic year
"Seeders, 24-row (tractor-drawn)",units,1931,34810,
"Seeders, 24-row (tractor-drawn)",units,1932,30000,1932 production program (plan target)
"Seeders, 23-row universal combined (seed+fertilizer)",units,1931,1136,
"Seeders, 23-row universal combined (seed+fertilizer)",units,1932,3100,1932 plan target
Field cultivators (tractor-drawn),units,1931,10797,
Field cultivators (tractor-drawn),units,1932,12000,1932 plan target
Field cultivators with hilling attachment,units,1932,3000,1932 plan target
Disc tractor harrows,units,1931,20422,
Disc tractor harrows,units,1932,28000,1932 production program (plan target)
Tractor-drawn binders (snopovyazalki),units,1931,5100,
Tractor-drawn binders (snopovyazalki),units,1932,27000,1932 plan target
Windrowers (vindrouery),units,1931,930,
Windrowers (vindrouery),units,1932,15000,1932 plan target
Self-rake reapers (samosbroski),units,1928.5,40804,1928/29 economic year
Self-rake reapers (samosbroski),units,1929.5,47784,1929/30 economic year
Self-rake reapers (samosbroski),units,1931,23192,
Self-rake reapers (samosbroski),units,1932,10000,1932 plan target
Header-rake reapers (lobogreiki),units,1928.5,193088,1928/29 economic year
Header-rake reapers (lobogreiki),units,1929.5,121759,1929/30 economic year
Header-rake reapers (lobogreiki),units,1931,27364,
Header-rake reapers (lobogreiki),units,1932,15000,1932 plan target
Horse-drawn binders (konnye snopovyazalki),units,1928.5,898,1928/29 economic year
Horse-drawn binders (konnye snopovyazalki),units,1929.5,3551,1929/30 economic year
Horse-drawn binders (konnye snopovyazalki),units,1931,14375,
Horse-drawn binders (konnye snopovyazalki),units,1932,10000,1932 plan target
"Combine harvesters, factory Kommunar (15-foot cut)",units,1929.5,104,"1929/30 economic year; first Soviet combine, built at Kommunar plant, Zaporizhzhia"
"Combine harvesters, factory Kommunar (15-foot cut)",units,1931,3549,
"Combine harvesters, factory Kommunar (15-foot cut)",units,1932,10000,1932 plan target
"Combine harvesters, Rostselmash (15-foot cut)",units,1932,6000,1932 plan target; new production line
"Combine harvesters, Sarkombain (20-foot cut)",units,1932,6000,"1932 plan target; new production line, Saratov"
Threshers MO-900,units,1928.5,1900,1928/29 economic year
Threshers MO-900,units,1929.5,4924,1929/30 economic year
Threshers MO-900,units,1931,6391,
Threshers MK-1100,units,1928.5,10,1928/29 economic year
Threshers MK-1100,units,1929.5,837,1929/30 economic year
Threshers MK-1100,units,1931,4344,
