period_or_year,indicator,value,source_pdf,source_page_or_location,notes
1981-1985 avg annual %,"GNP growth, Soviet official statistic",4.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2 (unlabeled intro table),Soviet State Committee for Statistics began publishing Western-style GNP estimates in early 1987
1986,"GNP growth, Soviet official statistic",4.6,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1987,"GNP growth, Soviet official statistic",3.3,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1981-1985 avg annual %,"GNP growth, CIA estimate",1.8,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,CIA figure valued at 1982 factor cost
1986,"GNP growth, CIA estimate",4.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1987,"GNP growth, CIA estimate",1.3,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1981-1985 avg annual %,"NMP growth, Soviet official statistic",3.6,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,"Net Material Product (traditional Marxist-concept measure, excludes most services and depreciation)"
1986,"NMP growth, Soviet official statistic",4.1,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1987,"NMP growth, Soviet official statistic",2.3,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1981-1985 avg annual %,"NMP growth, CIA estimate",1.6,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1986,"NMP growth, CIA estimate",3.5,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1987,"NMP growth, CIA estimate",1.4,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.2,
1950-1975 avg annual %,"GNP growth, CIA estimate (1982 factor cost)",4.5,JEC-Measures-Soviet-GNP-1982-Prices.pdf,"p.1, narrative 'Slowdown of Economic Growth'",text says 'slightly more than 4.5 percent'
1975-1987 avg annual %,"GNP growth, CIA estimate (1982 factor cost)",2.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,p.1,text says 'fell to about 2 percent'
1966-1975 avg annual %,"Investment growth, CIA estimate",4.8,JEC-Measures-Soviet-GNP-1982-Prices.pdf,narrative p.~7,
1976-1985 avg annual %,"Investment growth, CIA estimate",2.4,JEC-Measures-Soviet-GNP-1982-Prices.pdf,narrative p.~7,
1965-1975 avg annual %,"Defense spending growth, CIA estimate",5.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,narrative p.~7,text: 'average of about 5 percent per year from 1965 to 1975'
1975-1987 avg annual %,"Defense spending growth, CIA estimate",2.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,narrative p.~7,text: 'less than 2 percent annually from 1975 to 1987'; weapons procurement is 'about half of all military expenditures'
1970-1982 avg annual %,Implied inflation rate from 1970-to-1982 price-base shift,2.0,JEC-Measures-Soviet-GNP-1982-Prices.pdf,"narrative, 'Results of Move to New Price Base'",text: 'a little over 2 percent per year between 1970 and 1982'
1951,"Defense share of Soviet GNP, CIA estimate (%, 1982 constant prices)",24,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~34 (Fig.2 discussion),
1959,"Defense share of Soviet GNP, CIA estimate (%, 1982 constant prices)",14,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~34,declined from 24% (1951) to 14% (1959)
1960-1990 range,"Defense share of Soviet GNP, CIA estimate (%, 1982 constant prices)",14-16,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~34,'varied within the range of 14 to 16 percent between 1960 and 1990'
1970,"Soviet defense spending, CIA 1976 reassessment (billion 1970 rubles)",40-50,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~28,revised up from prior estimate of 29 billion rubles for 1970
1975,"Soviet defense spending, CIA 1976 reassessment (billion 1970 rubles)",55-60,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~28,revised up from prior estimate of 34 billion rubles for 1975
since 1970,"Defense share of GNP, CIA 1976 reassessment (%, narrow/US definition to broad/Soviet definition)",11-13,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~28,revised up from 'less than 8 percent' in prior estimate
1956-1959 avg annual %,"Industrial output growth, CIA independent estimate",8.6,Watching-the-Bear-2-Chap2-TheEconomy.pdf,"p.~18, citing 'Trends in Industrial Production in the USSR, 1955-63' (Dec 1964)",Soviet official claims were 'about two percentage points higher'
1960-1963 avg annual %,"Industrial output growth, CIA independent estimate",6.7,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~18,deceleration from 1956-59 rate
1950-1965,"Agricultural output growth, CIA independent estimate (total, not annualized)",70,Watching-the-Bear-2-Chap2-TheEconomy.pdf,"p.~18, citing 'Trends in Output, Inputs, and Factor Productivity in Soviet Agriculture' (May 1966)",two-thirds of the 1950-65 increase occurred in 1954-58; per-capita output in 1965 was below 1958
1963,"Soviet GNP growth, CIA estimate",2.5,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~18-19,CIA's low 1963 estimate prompted President Johnson to brief West European allies
1953-1975,"GNP growth projection ('final projection', low variant), CIA 'Long-Run Soviet Economic Growth' (Dec 1954)",4.2,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 31, CIA/RR 53",paired with a higher-investment/lower-consumption variant at 5.2%/yr (next row); realized CIA estimate for the period was later put at 5.1%/yr per a 1982 report (Watching the Bear)
1953-1975,"GNP growth projection ('final projection', high-investment variant), CIA 'Long-Run Soviet Economic Growth' (Dec 1954)",5.2,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 31, CIA/RR 53",associated with slower consumption growth / faster investment growth
through 1980 (best case),"GNP growth projection, 'Soviet Economic Problems and Prospects' (July 1977)",4.0,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.208-209","best-case scenario requiring 'prompt, strong action in energy policy'"
1981-1985 (best case),"GNP growth projection, 'Soviet Economic Problems and Prospects' (July 1977)",3-3.5,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.208-209",
near-term (worse case),"GNP growth projection, 'Soviet Economic Problems and Prospects' (July 1977)",3.5,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.208-209",worse case if energy policy not addressed promptly
1980s (worse case),"GNP growth projection, 'Soviet Economic Problems and Prospects' (July 1977)",2-2.5,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.208-209",
near-term,"Defense spending growth projection, 'Soviet Economic Problems and Prospects' (1977)",4-5,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.210-211",'because of programs in train'
1965-onward,"Per-capita consumption growth, historical rate cited in 1977 projection",3.5,4-AssessingSovietEconomicPerformance-documents31-41.pdf,"Document 38, p.211",projected to fall to at most 2%/yr under the reduced-growth scenario
1981-1985,"GNP growth, Sovsim macroeconomic model baseline (Feb 1979)",2.5,Watching-the-Bear-2-Chap2-TheEconomy.pdf,p.~24-25,15-sector production-function model; policy variants showed little difference from baseline
early 1980s avg annual %,"Soviet GNP growth, CIA estimate (as defended against 'Tyrannical Numbers' critics)",2.0,CIA-Assessments-Soviet-Union.pdf,p.~7 ('The Tyrannical Numbers'),critic Anders Aslund cited this 1980-85 CIA estimate as implausibly low; CIA's Herbert Meyer separately recalled the early-1980s CIA estimate as 'slightly less than 2 percent per year'
1980s projected,"Industrial growth projection, JEC testimony Sept 1980",2.0,CIA-Assessments-Soviet-Union.pdf,"Reference 4, p.~5 (25 Sept 1980 JEC testimony, DCI Stansfield Turner)",'By CIA measures industrial growth has failed to meet planned targets every year since 1973'
1987,"Soviet GNP growth, CIA/DIA joint estimate",1.5,CIA-Assessments-Soviet-Union.pdf,"Reference 27, p.~9 (July 1988, joint CIA-DIA product to JEC)","'a rate reminiscent of the late Brezhnev period'; industrial growth also 1.5%, machine-building did not expand at all"
1988 (as of),"Defense share of Soviet GNP, CIA/DIA estimate",15-17,CIA-Assessments-Soviet-Union.pdf,"Reference 27, p.~9",cited alongside energy and agriculture taking 'about half of Soviet investment annually'
1986-1990 planned,"Strategic-forces procurement spending growth, 'low forces' NIE variant",11,CIA-Assessments-Soviet-Union.pdf,"Reference 19, p.~6 (22 Apr 1986 memo, D/SOVA to DDI)","'high forces' variant required 13%/yr; for comparison, 1966-70 procurement grew at 10%/yr from a much lower base while overall GNP grew ~5%/yr"
1966-1970 avg annual %,"Overall Soviet GNP growth, cited for comparison to 1980s procurement debate",5.0,CIA-Assessments-Soviet-Union.pdf,"Reference 19, p.~6",'more than twice the rate anticipated during the 1986-90 period'
1950-1975,"USSR GNP relative to US GNP, growth trajectory",one-third to almost 60 percent,CIA-Assessments-Soviet-Union.pdf,"p.~12 (undated excerpt, Gorbachev succession context)",Soviet economic growth between 1950 and 1975 'outstripped that of the United States'
undated (pre-1989),"Peak USSR GNP as share of US GNP, cited and critiqued",60,CIA-Assessments-Soviet-Union.pdf,"p.~7, discussing March 1989 'Global Perspective' document","author notes the ruble/dollar spread was >25 percentage points at that time, making the figure sensitive to valuation choice"
