year,product,output_index_1950_100
1950,Meat (slaughter weight),100
1951,Meat (slaughter weight),96
1952,Meat (slaughter weight),106
1953,Meat (slaughter weight),120
1954,Meat (slaughter weight),129
1955,Meat (slaughter weight),130
1956,Meat (slaughter weight),133
1950,Milk,100
1951,Milk,102
1952,Milk,101
1953,Milk,103
1954,Milk,108
1955,Milk,122
1956,Milk,139
1950,Wool,100
1951,Wool,107
1952,Wool,122
1953,Wool,130
1954,Wool,128
1955,Wool,142
1956,Wool,145
1950,Eggs,100
1951,Eggs,113
1952,Eggs,123
1953,Eggs,137
1954,Eggs,147
1955,Eggs,158
1956,Eggs,167
