edition_and_source_page,index_base,year_or_period,indicator,value
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,Workers/employees in national economy,100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,Workers/employees in national economy,95
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,Workers/employees in national economy,274
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,Workers/employees in national economy,341
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,Workers/employees in national economy,424
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,Workers/employees in national economy,443
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,"Fixed productive assets, all sectors",100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,"Fixed productive assets, all sectors",136
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,"Fixed productive assets, all sectors",603
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,"Fixed productive assets, all sectors",806
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,"Fixed productive assets, all sectors",1329
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,"Fixed productive assets, all sectors",1480
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,National income,100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,National income,119
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,National income,611
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,National income,1003
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,National income,1716
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,National income,1922
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,"Gross output, all industry",100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,"Gross output, all industry",132
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,"Gross output, all industry",852
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,"Gross output, all industry",1476
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,"Gross output, all industry",2729
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,"Gross output, all industry",3021
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,"Gross output, large-scale industry",100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,"Gross output, large-scale industry",152
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,"Gross output, large-scale industry",1172
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,"Gross output, large-scale industry",2060
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,"Gross output, large-scale industry",3915
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,"Gross output, large-scale industry",4349
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,"Freight turnover, all transport",100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,"Freight turnover, all transport",104
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,"Freight turnover, all transport",426
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,"Freight turnover, all transport",623
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,"Freight turnover, all transport",1018
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,"Freight turnover, all transport",1136
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,"Freight turnover, rail",100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,"Freight turnover, rail",142
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,"Freight turnover, rail",632
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,"Freight turnover, rail",917
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,"Freight turnover, rail",1478
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,"Freight turnover, rail",1643
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1913,Avg daily rail loading,100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,Avg daily rail loading,118
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,Avg daily rail loading,357
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,Avg daily rail loading,431
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,Avg daily rail loading,618
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,Avg daily rail loading,653
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1928,Total capital investment (1928=100),100
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1940,Total capital investment (1928=100),847
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1950,Total capital investment (1928=100),1780
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1955,Total capital investment (1928=100),3022
narodnoe-khoziaistvo-sssr_1956.pdf p.34,1913=100,1956,Total capital investment (1928=100),3527
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1913,National income,100
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1928,National income,119
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1932,National income,217
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1937,National income,459
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1940,National income,611
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1950,National income,1003
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1951,National income,1126
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1952,National income,1249
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1953,National income,1367
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1954,National income,1533
