year,crop,gross_harvest_index_1950_100
1950,"Grain crops, all",100
1951,"Grain crops, all",97
1952,"Grain crops, all",113
1953,"Grain crops, all",101
1954,"Grain crops, all",105
1955,"Grain crops, all",131
1956,"Grain crops, all",157
1950,  Wheat,100
1951,  Wheat,104
1952,  Wheat,141
1953,  Wheat,133
1954,  Wheat,136
1955,  Wheat,152
1956,  Wheat,217
1950,  Corn/maize,100
1951,  Corn/maize,72
1952,  Corn/maize,88
1953,  Corn/maize,56
1954,  Corn/maize,56
1955,  Corn/maize,221
1956,  Corn/maize,188
1950,Sunflower,100
1951,Sunflower,97
1952,Sunflower,123
1953,Sunflower,146
1954,Sunflower,106
1955,Sunflower,212
1956,Sunflower,220
1950,Sugar beet,100
1951,Sugar beet,114
1952,Sugar beet,107
1953,Sugar beet,111
1954,Sugar beet,95
1955,Sugar beet,149
1956,Sugar beet,156
1950,Raw cotton,100
1951,Raw cotton,105
1952,Raw cotton,106
1953,Raw cotton,108
1954,Raw cotton,118
1955,Raw cotton,111
1956,Raw cotton,124
1950,Flax fiber (long-fiber flax),100
1951,Flax fiber (long-fiber flax),76
1952,Flax fiber (long-fiber flax),83
1953,Flax fiber (long-fiber flax),64
1954,Flax fiber (long-fiber flax),85
1955,Flax fiber (long-fiber flax),149
1956,Flax fiber (long-fiber flax),204
