fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1910-32,,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,51870,GBP thousand,Aggregate for the whole 1910-32 period (pre-renegotiation royalty basis),IRN,usbm1963-aioc-profits-royalties-1910-1951
1910-32,,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,7700,GBP thousand,Aggregate for the whole 1910-32 period (pre-renegotiation royalty basis),IRN,usbm1963-aioc-profits-royalties-1910-1951
1910-32,,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,12498,GBP thousand,Aggregate for the whole 1910-32 period (pre-renegotiation royalty basis),IRN,usbm1963-aioc-profits-royalties-1910-1951
1933,1933,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,2644,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1933,1933,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,305,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1933,1933,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,1812,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1934,1934,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,3183,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1934,1934,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,512,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1934,1934,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,2190,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1935,1935,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,3519,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1935,1935,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,409,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1935,1935,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,2221,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1936,1936,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,6123,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1936,1936,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,911,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1936,1936,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,2580,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1937,1937,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,7455,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1937,1937,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,1652,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1937,1937,"AIOC Profits, UK Tax & Iran Royalty Payments",Royalty Payments to Iran,3545,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1938,1938,"AIOC Profits, UK Tax & Iran Royalty Payments",Net Profit,6109,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
1938,1938,"AIOC Profits, UK Tax & Iran Royalty Payments",UK Taxes,1157,GBP thousand,,IRN,usbm1963-aioc-profits-royalties-1910-1951
