fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1970,1970,Total (all regional cos + dams),Total,1395985,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Total (all regional cos + dams),Diesel,309785,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Total (all regional cos + dams),Steam,434500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Total (all regional cos + dams),Gas,134700,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Total (all regional cos + dams),Water (Hydro),517000,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Total (all regional cos + dams),Total,1992883,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Total (all regional cos + dams),Diesel,313183,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Total (all regional cos + dams),Steam,746500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Total (all regional cos + dams),Gas,134200,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Total (all regional cos + dams),Water (Hydro),799000,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Tehran Regional Electric Co.,Total,27142,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Tehran Regional Electric Co.,Diesel,27142,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Tehran Regional Electric Co.,Steam,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Tehran Regional Electric Co.,Gas,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Tehran Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Tehran Regional Electric Co.,Total,29678,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Tehran Regional Electric Co.,Diesel,29678,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Tehran Regional Electric Co.,Steam,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Tehran Regional Electric Co.,Gas,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Tehran Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Esfahan Regional Electric Co.,Total,54754,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Esfahan Regional Electric Co.,Diesel,35854,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Esfahan Regional Electric Co.,Steam,11500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Esfahan Regional Electric Co.,Gas,7400,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Esfahan Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Esfahan Regional Electric Co.,Total,47824,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Esfahan Regional Electric Co.,Diesel,36324,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Esfahan Regional Electric Co.,Steam,11500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Esfahan Regional Electric Co.,Gas,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Esfahan Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Fars Regional Electric Co.,Total,84306,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Fars Regional Electric Co.,Diesel,23306,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Fars Regional Electric Co.,Steam,2500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Fars Regional Electric Co.,Gas,58500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Fars Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Fars Regional Electric Co.,Total,84717,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Fars Regional Electric Co.,Diesel,24217,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Fars Regional Electric Co.,Steam,2500,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Fars Regional Electric Co.,Gas,58000,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Fars Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Azarbayejan Regional Electric Co.,Total,95526,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Azarbayejan Regional Electric Co.,Diesel,53526,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Azarbayejan Regional Electric Co.,Steam,12000,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Azarbayejan Regional Electric Co.,Gas,30000,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Azarbayejan Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Azarbayejan Regional Electric Co.,Total,53982,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Azarbayejan Regional Electric Co.,Diesel,53982,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Azarbayejan Regional Electric Co.,Steam,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Azarbayejan Regional Electric Co.,Gas,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Azarbayejan Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Khorasan Regional Electric Co.,Total,32800,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Khorasan Regional Electric Co.,Diesel,32800,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Khorasan Regional Electric Co.,Steam,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Khorasan Regional Electric Co.,Gas,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1970,1970,Khorasan Regional Electric Co.,Water (Hydro),0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Khorasan Regional Electric Co.,Total,37491,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Khorasan Regional Electric Co.,Diesel,37491,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
1971,1971,Khorasan Regional Electric Co.,Steam,0,kW (installed capacity),,IRN,wb1974-table15.2-power-generating-capacity
