fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — total,1055,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — total,1650,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — total,2099,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — industrial,296,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — industrial,466,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — industrial,701,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — agricultural,33,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — agricultural,38,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — agricultural,57,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — street_lighting,96,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
