census_date,source_code,country_iso3,residence,sex,age_band,population
1 XI 1956,Cdf,IRN,Total,Total,All ages,18954704
1 XI 1956,Cdf,IRN,Total,Total,-1,542541
1 XI 1956,Cdf,IRN,Total,Total,1-4,2805157
1 XI 1956,Cdf,IRN,Total,Total,5-9,2822975
1 XI 1956,Cdf,IRN,Total,Total,10-14,1822483
1 XI 1956,Cdf,IRN,Total,Total,15-19,1420524
1 XI 1956,Cdf,IRN,Total,Total,20-24,1497178
1 XI 1956,Cdf,IRN,Total,Total,25-29,1517802
1 XI 1956,Cdf,IRN,Total,Total,30-34,1386373
1 XI 1956,Cdf,IRN,Total,Total,35-39,1084698
1 XI 1956,Cdf,IRN,Total,Total,40-44,862743
1 XI 1956,Cdf,IRN,Total,Total,45-49,777565
1 XI 1956,Cdf,IRN,Total,Total,50-54,668868
1 XI 1956,Cdf,IRN,Total,Total,55-59,554754
1 XI 1956,Cdf,IRN,Total,Total,60-64,432373
1 XI 1956,Cdf,IRN,Total,Total,65-69,302782
1 XI 1956,Cdf,IRN,Total,Total,70-74,196877
1 XI 1956,Cdf,IRN,Total,Total,75-79,117254
1 XI 1956,Cdf,IRN,Total,Total,80-84,64760
1 XI 1956,Cdf,IRN,Total,Total,85+,69934
1 XI 1956,Cdf,IRN,Total,Total,Unknown,7063
1 XI 1966,Cdf,IRN,Total,Total,All ages,25078923
1 XI 1966,Cdf,IRN,Total,Total,-1,817134
1 XI 1966,Cdf,IRN,Total,Total,1-4,3619787
1 XI 1966,Cdf,IRN,Total,Total,5-9,4106158
1 XI 1966,Cdf,IRN,Total,Total,10-14,3017250
1 XI 1966,Cdf,IRN,Total,Total,15-19,2129036
1 XI 1966,Cdf,IRN,Total,Total,20-24,1682161
1 XI 1966,Cdf,IRN,Total,Total,25-29,1649672
1 XI 1966,Cdf,IRN,Total,Total,30-34,1668046
1 XI 1966,Cdf,IRN,Total,Total,35-39,1418239
1 XI 1966,Cdf,IRN,Total,Total,40-44,1321050
1 XI 1966,Cdf,IRN,Total,Total,45-49,843608
1 XI 1966,Cdf,IRN,Total,Total,50-54,740839
1 XI 1966,Cdf,IRN,Total,Total,55-59,427901
1 XI 1966,Cdf,IRN,Total,Total,60-64,669937
1 XI 1966,Cdf,IRN,Total,Total,65-69,346022
1 XI 1966,Cdf,IRN,Total,Total,70-74,340755
1 XI 1966,Cdf,IRN,Total,Total,75-79,104177
1 XI 1966,Cdf,IRN,Total,Total,80-84,105182
1 XI 1966,Cdf,IRN,Total,Total,85+,71969
1 XI 1966,Cdf,IRN,Total,Total,Unknown,-
1 XI 1976,Cdf,IRN,Total,Total,All ages,33708744
1 XI 1976,Cdf,IRN,Total,Total,-1,978133
1 XI 1976,Cdf,IRN,Total,Total,1-4,4451579
1 XI 1976,Cdf,IRN,Total,Total,5-9,5276533
1 XI 1976,Cdf,IRN,Total,Total,10-14,4303118
1 XI 1976,Cdf,IRN,Total,Total,15-19,3600265
1 XI 1976,Cdf,IRN,Total,Total,20-24,2792215
1 XI 1976,Cdf,IRN,Total,Total,25-29,2111585
1 XI 1976,Cdf,IRN,Total,Total,30-34,1706997
1 XI 1976,Cdf,IRN,Total,Total,35-39,1626619
1 XI 1976,Cdf,IRN,Total,Total,40-44,1668685
1 XI 1976,Cdf,IRN,Total,Total,45-49,1389465
1 XI 1976,Cdf,IRN,Total,Total,50-54,1329049
1 XI 1976,Cdf,IRN,Total,Total,55-59,703887
1 XI 1976,Cdf,IRN,Total,Total,60-64,584144
1 XI 1976,Cdf,IRN,Total,Total,65-69,347238
1 XI 1976,Cdf,IRN,Total,Total,70-74,380164
1 XI 1976,Cdf,IRN,Total,Total,75-79,204097
