period,country_iso3,sex,life_expectancy_at_birth_years,source_note
1950-1955,IRN,Male,46.1,
1955-1960,IRN,Male,48.3,
1960-1965,IRN,Male,50.9,
1965-1970,IRN,Male,53.5,
1973-1976,IRN,Male,57.63,Based on Population Growth Survey Project (UN DYB footnote 23)
1976,IRN,Male,55.75,
1980-1985,IRN,Male,59.4,
1986,IRN,Male,58.38,
1990-1995,IRN,Male,67,
1950-1955,IRN,Female,46.1,
1955-1960,IRN,Female,48.3,
1960-1965,IRN,Female,50.6,
1965-1970,IRN,Female,52.9,
1973-1976,IRN,Female,57.44,Based on Population Growth Survey Project (UN DYB footnote 23)
1976,IRN,Female,55.04,
1980-1985,IRN,Female,63,
1986,IRN,Female,59.7,
1990-1995,IRN,Female,68,
