year,country_iso3,mid_year_population,live_births_number,crude_birth_rate_per_1000,deaths_number,crude_death_rate_per_1000,natural_increase_rate_per_1000,infant_deaths_number,infant_mortality_rate_per_1000,vital_rates_flagged_x_in_source
1948,IRN,15802000,515782,32.6,158782,10,22.6,,,no
1949,IRN,16131000,477992,29.6,182311,11.3,18.3,,,no
1950,IRN,16276000,536465,33,154235,9.5,23.5,,,no
1951,IRN,16667000,534586,32.1,144716,8.7,23.4,,,no
1952,IRN,17067000,600087,35.2,126741,7.4,27.8,,,no
1953,IRN,17476000,607767,48,122085,24.5,23.5,,190,yes
1954,IRN,17896000,658043,36.8,151218,8.4,28.4,,,no
1955,IRN,18325000,849713,46.4,202990,11.1,35.3,,,no
1956,IRN,19260979,653409,33.9,145067,7.5,26.4,,,no
1957,IRN,19796750,761141,38.4,166059,8.4,30,,,no
1958,IRN,20351870,842750,47,176030,22,25,,175,yes
1959,IRN,20925884,872628,41.7,170866,8.2,33.5,,,no
1960,IRN,21438881,,,,,,,,no
1961,IRN,22109220,811555,36.7,142830,6.5,30.2,,,no
1962,IRN,22800517,909858,39.9,156585,6.9,33,,,no
1963,IRN,23513430,987277,46.5,132556,19.6,26.9,,163,yes
1964,IRN,24248633,1006621,41.5,145780,6,35.5,,,no
1965,IRN,25006824,1038650,41.5,149790,6,35.5,,,no
1966,IRN,25788722,1073744,41.6,177688,6.9,34.7,,,no
1967,IRN,26488727,1055222,39.8,179220,6.8,33,,,no
1968,IRN,27207734,1047742,45.3,176962,17,28.3,,145,yes
1969,IRN,27946257,1088053,38.9,169089,6.1,32.8,,,no
1970,IRN,28704826,1134129,39.5,164019,5.7,33.8,,,no
1971,IRN,29483986,1263337,42.8,151799,5.1,37.7,,,no
1972,IRN,30284295,1122264,37.1,153239,5.1,32,,,no
1973,IRN,31106328,1212000,44.1,159000,14.5,29.6,,122,yes
1974,IRN,31950674,1249000,39.1,150000,4.7,34.4,,,no
1975,IRN,32817938,1343000,40.9,149000,4.5,36.4,,,no
1976,IRN,33708700,1402000,41.6,155000,4.6,37,,,no
1977,IRN,35025195,1409000,40.2,147000,4.2,36,,,no
1978,IRN,36393058,1369587,44.7,127857,11.8,32.9,,100,yes
1979,IRN,37814341,1689908,44.7,142402,3.8,40.9,,,no
1980,IRN,39291131,2450308,62.4,162176,4.1,58.3,,,no
1981,IRN,40825595,2421611,59.3,178099,4.4,54.9,,,no
1982,IRN,42419985,2101894,49.5,200614,4.7,44.8,,,no
1983,IRN,44076642,2203448,46.1,207228,10.4,35.7,,78,yes
1984,IRN,45797998,2067803,45.2,186440,4.1,41.1,,,no
1985,IRN,47820000,,,,,,,,no
1986,IRN,49445000,2033285,41.1,190061,3.8,37.3,,,no
1987,IRN,50662037,1832090,36.2,204230,4,32.2,,,no
1988,IRN,51909019,1944149,42.4,238390,8.1,34.3,,52,yes
1989,IRN,53186694,1784811,33.6,199645,3.8,29.8,,,no
1990,IRN,54495817,1728959,31.7,217597,4,27.7,,,no
1991,IRN,55837000,1425680,25.5,245868,4.4,21.1,102784,72.1,no
1992,IRN,57153200,,,,,,,,no
1993,IRN,58480900,,37.8,,6.8,31,,43,yes
1994,IRN,59777549,1304255,21.8,175438,2.9,18.9,40359,30.9,no
1995,IRN,68365000,,,,,,,,yes
1996,IRN,61127914,1187903,19.4,,,,,,no
1997,IRN,60694383,,,,,,,,no
