country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,,16360,million m3,total_water_controlled_end_4th_plan_mm3,Total — water_controlled_end_4th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,9920,million m3,total_water_controlled_during_5th_plan_mm3,Total — water_controlled_during_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,26280,million m3,total_water_controlled_end_5th_plan_mm3,Total — water_controlled_end_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,768,million m3,total_public_supply_end_4th_plan_cities_industries_mm3,Total — public_supply_end_4th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,10790,million m3,total_public_supply_end_4th_plan_agriculture_mm3,Total — public_supply_end_4th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,487,million m3,total_public_supply_during_5th_plan_cities_industries_mm3,Total — public_supply_during_5th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,3969,million m3,total_public_supply_during_5th_plan_agriculture_mm3,Total — public_supply_during_5th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,1255,million m3,total_public_supply_end_5th_plan_cities_industries_mm3,Total — public_supply_end_5th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,14759,million m3,total_public_supply_end_5th_plan_agriculture_mm3,Total — public_supply_end_5th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,3995,million m3,azarbayejan_water_controlled_end_4th_plan_mm3,Azarbayejan — water_controlled_end_4th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,0,million m3,azarbayejan_water_controlled_during_5th_plan_mm3,Azarbayejan — water_controlled_during_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,3995,million m3,azarbayejan_water_controlled_end_5th_plan_mm3,Azarbayejan — water_controlled_end_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,4,million m3,azarbayejan_public_supply_end_4th_plan_cities_industries_mm3,Azarbayejan — public_supply_end_4th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,1877,million m3,azarbayejan_public_supply_end_4th_plan_agriculture_mm3,Azarbayejan — public_supply_end_4th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,39,million m3,azarbayejan_public_supply_during_5th_plan_cities_industries_mm3,Azarbayejan — public_supply_during_5th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,440,million m3,azarbayejan_public_supply_during_5th_plan_agriculture_mm3,Azarbayejan — public_supply_during_5th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,43,million m3,azarbayejan_public_supply_end_5th_plan_cities_industries_mm3,Azarbayejan — public_supply_end_5th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,2317,million m3,azarbayejan_public_supply_end_5th_plan_agriculture_mm3,Azarbayejan — public_supply_end_5th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,0,million m3,west_water_controlled_end_4th_plan_mm3,West — water_controlled_end_4th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,50,million m3,west_water_controlled_during_5th_plan_mm3,West — water_controlled_during_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,50,million m3,west_water_controlled_end_5th_plan_mm3,West — water_controlled_end_5th_plan_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,0,million m3,west_public_supply_end_4th_plan_cities_industries_mm3,West — public_supply_end_4th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,105,million m3,west_public_supply_end_4th_plan_agriculture_mm3,West — public_supply_end_4th_plan_agriculture_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
IRN,Iran,,19,million m3,west_public_supply_during_5th_plan_cities_industries_mm3,West — public_supply_during_5th_plan_cities_industries_Mm3,wb1975water-reservoir-water-control-forecast-by-zone,4th-5th Development Plan forecast (no single year; plan-period aggregate)
