"ref_area","source","indicator","time","obs_value","note_indicator","note_source"
"AFG","FX:3344","EAR_INEE_NOC_NB","2024",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2023",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2022",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2021",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2020",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2019",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2018",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2017",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2016",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2015",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2014",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2013",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2012",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2011",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2010",4000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2009",4000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_NOC_NB","2008",4000,"I19:6291_T30:110",
"AGO","FX:3363","EAR_INEE_NOC_NB","2024",70000,"I19:6286_T30:2",
"AGO","FX:3363","EAR_INEE_NOC_NB","2023",32181.15,"I19:6286_T30:2",
"AGO","FX:3363","EAR_INEE_NOC_NB","2022",32181.15,"I19:6286_T30:2",
"AGO","FX:3363","EAR_INEE_NOC_NB","2021",21454,"I19:6286_T30:2",
"AGO","FX:3363","EAR_INEE_NOC_NB","2020",21454,"I19:6286_T30:2",
"AGO","FX:3363","EAR_INEE_NOC_NB","2019",21454,"I19:6286_T30:2",
