"ref_area","source","indicator","classif1","time","obs_value","note_indicator","note_source"
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2024",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2024",393.193,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2023",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2023",356.716,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2022",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2022",326.7,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2021",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2021",343.97,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2020",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2020",348.384,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2020",71.602,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2019",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2019",357.631,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2019",70.75,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2018",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2018",353.611,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2018",76.301,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2017",5500,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2017",341.794,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2017",80.85,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2016",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2016",307.848,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2016",73.674,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2015",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2015",305.881,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2015",81.775,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2014",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2014",292.538,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2014",87.34,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2013",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2013",290.443,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2013",90.289,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2012",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2012",296.292,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2012",98.19,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2011",5000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2011",297.826,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2011",106.959,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2010",4000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2010",258.234,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2010",86.11,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2009",4000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2009",259.602,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2009",79.483,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2008",4000,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_PPP","2008",242.783,"I19:6291_T30:110",
"AFG","FX:3344","EAR_INEE_CUR_NB","CUR_TYPE_USD","2008",79.603,"I19:6291_T30:110",
"AGO","FX:3363","EAR_INEE_CUR_NB","CUR_TYPE_LCU","2024",70000,"I19:6286_T30:2",
