fiscal_year_ah,fiscal_year_western_end,liquidity_m2_billion_rials,liquidity_m2_growth_pct,monetary_base_billion_rials,monetary_base_growth_pct,cpi_inflation_growth_pct,notes,country_iso3,source_file,liquidity_m2_usd_nominal,liquidity_m2_usd_real_2015,monetary_base_usd_nominal,monetary_base_usd_real_2015,currency_conversion_note
1379,2001,249110.7,29.3,84398.1,17.5,12.6,"CPI figure is the average annual consumer price index growth; the report separately states a point-to-point (year-end) inflation figure of 20.1 percent, which is NOT the same measure -- kept out of the cpi_inflation_growth_pct column to avoid conflating the two; see raw text line ~1067 of the plain-text extraction for both.",IRN,cbi_annual_review_1379_2000-01.pdf,31.1055,74.759,10.5385,25.3282,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2001=8008.583333333333, rebased CPI_2001=9.8982); monetary_base_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2001=8008.583333333333, rebased CPI_2001=9.8982)"
1380,2002,320957.3,28.8,97184.8,15.2,11.4,,IRN,cbi_annual_review_1380_2001-02.pdf,40.0733,84.2426,12.1341,25.5084,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2002=8009.25, rebased CPI_2002=11.3173); monetary_base_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2002=8009.25, rebased CPI_2002=11.3173)"
1381,2003,417524.0,30.1,,23.1,,"Monetary base LEVEL not captured this pass (only its 23.1 percent growth rate was cleanly legible; the source page mixes a bar-chart's axis labels into the surrounding paragraph text in the plain-text extraction, making the exact billion-rial figure ambiguous to transcribe with confidence -- left blank rather than guessed). CPI/inflation narrative for this year is similarly chart-garbled in the extraction and was not used.",IRN,cbi_annual_review_1381_2002-03.pdf,50.5186,94.0937,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2003=8264.75, rebased CPI_2003=13.181)"
1382,2004,526596.4,26.1,,,15.6,"CPI is the consumer price index growth rate as stated ('the consumer, wholesale and producer price indices grew by 15.6, 10.1 and 15.6 percent, respectively' -- note CPI and PPI are both printed as 15.6, not a transcription error, taken directly from source). Monetary base not captured this pass.",IRN,cbi_annual_review_1382_2003-04.pdf,59.268,103.4097,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2004=8885.0, rebased CPI_2004=15.1267)"
1383,2005,685697.5,30.2,151200.0,17.5,15.2,"IMPORTANT: FY1383's own report states its year-end M2 as 685,697.5 billion rials, but the FOLLOWING year's report (FY1384, see its own table) restates the same FY1383 year-end M2 as 685,867.2 billion rials -- a small (~170 million rial, ~0.02%) but real inter-report revision, kept as printed in FY1383's own report rather than silently updated to the later restatement (this project's standing never-pick-a-winner policy for disagreeing sources, here applied to sequential vintages of the same statistic). Monetary base level/growth taken from the FY1384 report's prior-year column (151,200.0 billion, 17.5 percent), which matches FY1383's own narrative growth language.",IRN,cbi_annual_review_1383_2004-05.pdf,76.4946,118.7068,16.8675,26.1755,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2005=8964.0, rebased CPI_2005=17.1587); monetary_base_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2005=8964.0, rebased CPI_2005=17.1587)"
1384,2006,921019.4,34.3,220541.4,45.9,,"No 'Price Trends' narrative section was found in this file's extraction (unlike all other years) -- confirmed genuine gap in this pass, not a search failure elsewhere avoided.",IRN,cbi_annual_review_1384_2005-06.pdf,99.8179,144.9294,23.9017,34.7039,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2006=9227.0, rebased CPI_2006=18.8773); monetary_base_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2006=9227.0, rebased CPI_2006=18.8773)"
1385,2007,1284199.4,39.4,280000.0,26.9,13.6,"Monetary base level of 'Rls. 280 trillion' as stated in narrative prose (not a table row with more decimal precision) -- recorded as 280,000.0 billion rials; treat as a rounded figure, not to the same decimal precision as other years' table-sourced levels.",IRN,cbi_annual_review_1385_2006-07.pdf,136.5008,172.2148,29.7619,37.5488,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2007=9408.0, rebased CPI_2007=22.1508); monetary_base_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2007=9408.0, rebased CPI_2007=22.1508)"
1386,2008,1640293.0,27.7,,30.5,,Monetary base level and CPI not captured this pass.,IRN,cbi_annual_review_1386_2007-08.pdf,179.4042,175.3986,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2008=9143.0, rebased CPI_2008=27.7794)"
1387,2009,1901366.0,15.9,,,,Monetary base and CPI not captured this pass.,IRN,cbi_annual_review_1387_2008-09.pdf,192.0572,179.0509,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2009=9900.0, rebased CPI_2009=31.544)"
1388,2010,2355889.1,23.9,,,,Monetary base and CPI not captured this pass.,IRN,cbi_annual_review_1388_2009-10.pdf,228.5496,201.5209,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2010=10308.0, rebased CPI_2010=34.7266)"
