"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_TOTAL","2021",78.882,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_AGR","2021",97.184,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_NAG","2021",73.59,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_IND","2021",86.72,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_SER","2021",62.944,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_X","2021",97.151,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_TOTAL","2021",76.81,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_AGR","2021",97.159,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_NAG","2021",70.738,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_IND","2021",84.135,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_SER","2021",62.766,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_SECTOR_X","2021",92.071,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_TOTAL","2021",92.548,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_AGR","2021",97.393,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_NAG","2021",91.426,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_IND","2021",96.674,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_SER","2021",66.484,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_SECTOR_X","2021",100,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_TOTAL","2021",78.882,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_AGR","2021",97.184,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_MAN","2021",84.827,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_CON","2021",89.342,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_MEL","2021",60.596,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_MKT","2021",76.271,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_PUB","2021",39.839,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_T","ECO_AGGREGATE_X","2021",97.151,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_TOTAL","2021",76.81,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_AGR","2021",97.159,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_MAN","2021",67.835,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_CON","2021",89.193,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_MEL","2021",60.596,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_MKT","2021",75.956,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_PUB","2021",37.443,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_M","ECO_AGGREGATE_X","2021",92.071,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_TOTAL","2021",92.548,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_AGR","2021",97.393,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_MAN","2021",96.529,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_CON","2021",100,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_MKT","2021",100,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_PUB","2021",59.492,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_B831_SEX_ECO_RT","SEX_F","ECO_AGGREGATE_X","2021",100,,,,"R1:3513_S3:8"
"AGO","BA:13951","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_TOTAL","2025",94.09,,,,"R1:3513"
"AGO","BA:13951","SDG_B831_SEX_ECO_RT","SEX_T","ECO_SECTOR_AGR","2025",99.532,,,,"R1:3513"
