"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","EAR_EMTA_SEX_NB","SEX_T","2020",13202.245,"B","T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_NB","SEX_M","2020",13439.387,"B","T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_NB","SEX_F","2020",10843.294,"B","T30:110_I11:264","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_NB","SEX_T","2014",8848.569,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_NB","SEX_M","2014",9135.149,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_NB","SEX_F","2014",5517.315,,"T30:110","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2024",111867.158,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2024",121855.186,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2024",90237.816,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2023",125379.111,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2023",131284.572,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2023",113924.29,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2022",96491.325,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2022",104776.666,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2022",77871.961,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2021",88751.625,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2021",96612.879,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2021",70315.525,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2020",88286.47,,"T30:2","R1:3513"
