country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,2014,64.9,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2013/14,"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2015,55.4,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2014/15 (est.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2016,35.3,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2015/16 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2017,48.6,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2016/17 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2018,59.8,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2017/18 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2019,65.3,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2018/19 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2020,68.6,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2019/20 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2021,71.2,billion USD,oil_production_trade_table_1_selected_macroeconomic_indicators_total_oil_and_gas_exports,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Total oil and gas exports,imf-article-iv-iran-2015,2020/21 (proj.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2014,101.1,USD/barrel,oil_production_trade_table_1_selected_macroeconomic_indicators_average_oil_export_price,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Average oil export price,imf-article-iv-iran-2015,2013/14,"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
IRN,Iran,2015,79.1,USD/barrel,oil_production_trade_table_1_selected_macroeconomic_indicators_average_oil_export_price,Oil production & trade — Table 1 Selected Macroeconomic Indicators -- Average oil export price,imf-article-iv-iran-2015,2014/15 (est.),"IMF Country Report 15/349, Table 1 (printed p.33). Iranian fiscal year ends March 20. 2013/14-2014/15 are estimates/actuals; 2015/16 onward are Fund staff projections as of the report date. [cite: IMF Country Report No. 15/349, ""Islamic Republic of Iran: 2015 Article IV Consultation"", December 2015, printed p.33]"
