date,year,event,description,source_name,source_url
1995-07-17,1995,Iran's first WTO-era approach,"Iran's initial approach toward the newly-formed WTO system began around 17 July 1995 (the WTO itself had only just been established 1 Jan 1995, superseding GATT).",Grokipedia synthesis of WTO/Wikipedia records (secondary; cross-check against WTO official page recommended),https://en.wikipedia.org/wiki/Iran_and_the_World_Trade_Organization
1996-07-19,1996,Iran formally applies for WTO membership,"Iran submitted its formal application to accede to the World Trade Organization on 19 July 1996.",Wikipedia - 'Iran and the World Trade Organization',https://en.wikipedia.org/wiki/Iran_and_the_World_Trade_Organization
1996-2001,1996,Application blocked / not considered,"From July 1996 to May 2001, Iran's WTO membership application was not considered by the General Council, primarily due to United States objections exercised via its veto power within the WTO's consensus-based procedure.",Wikipedia - 'Iran and the World Trade Organization',https://en.wikipedia.org/wiki/Iran_and_the_World_Trade_Organization
2001-2005,2001,Application repeatedly raised and blocked,"From May 2001, Iran's application was brought before the WTO General Council 22 separate times over four years; each time it was blocked (largely by the US) before finally passing.",Wikipedia - 'Iran and the World Trade Organization',https://en.wikipedia.org/wiki/Iran_and_the_World_Trade_Organization
2005-05-26,2005,Working Party established; application approved,"On 26 May 2005 the WTO General Council unanimously approved Iran's application and established its accession Working Party -- widely reported as a US goodwill gesture amid nuclear negotiations with Iran at the time. Iran simultaneously obtained WTO observer status.",WTO official - 'Accession status: Iran' / Wikipedia,https://www.wto.org/english/thewto_e/acc_e/a1_iran_e.htm
2009-11,2009,Memorandum on Foreign Trade Regime (MFTR) circulated,"Iran submitted and the WTO Secretariat circulated Iran's Memorandum on the Foreign Trade Regime (MFTR) in November 2009 -- the formal second step of accession (after Working Party establishment), describing Iran's trade policy regime for member review.",USTR - 'Other Accessions' / WTO,https://ustr.gov/trade-agreements/wto-multilateral-affairs/wto-accessions/other-accessions
2010-02,2010,Consolidated member questions submitted,"WTO members raised 697 questions in response to Iran's MFTR; a consolidated list of these questions was submitted to Iran in February 2010.",USTR - 'Other Accessions',https://ustr.gov/trade-agreements/wto-multilateral-affairs/wto-accessions/other-accessions
2011-12,2011,Iran circulates responses,"Iran circulated its responses to WTO members' consolidated comments and questions on the MFTR and relevant trade legislation in December 2011.",USTR - 'Other Accessions',https://ustr.gov/trade-agreements/wto-multilateral-affairs/wto-accessions/other-accessions
2011-2018,2011,Process stalls; first Working Party meeting never held,"Despite the Working Party's 2005 establishment, it has never held its first formal meeting as of the mid/late-2010s -- procedurally blocked because no Working Party Chairman has been appointed. Academic analysis (Khodakarami, 2015) argued the 'unnecessary application of the consensus rule to the purely procedural stage of establishing the working party cost Iran 9 years,' and that Iran's accession -- already 14 years old by 2015 -- 'may be the longest accession process' of any WTO applicant.","IRFA Journal - Khodakarami, 'Accession of Iran to the WTO: A Legal-Political Overview' (2015)",https://irfajournal.csr.ir/article_123379.html
2005-2026,2005,Non-oil export growth cited in accession advocacy,"Iran's non-oil exports rose more than 500% between 2005 and 2011, reaching approximately $131 billion in 2011 (23rd-largest globally); total non-oil foreign trade reached $140 billion in 2011 -- cited in accession-advocacy literature as evidence Iran already operates a large, WTO-scale trading economy despite non-membership.",Wikipedia - 'Iran and the World Trade Organization',https://en.wikipedia.org/wiki/Iran_and_the_World_Trade_Organization
2026,2026,Status as of this database's compilation,"As of this round's research (mid-2026), Iran remains a WTO Working-Party-stage applicant / observer -- NOT a full member -- with the Working Party still never having convened its first formal meeting. Iran and the WTO official accession-status page (wto.org) is the definitive live-status source for any future update.","WTO official - 'Accession status: Iran' (live page, consult for updates)",https://www.wto.org/english/thewto_e/acc_e/a1_iran_e.htm
