category,subcategory,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,proj_1970/71,first_6mo_1969/70,first_6mo_1970/71
Money and Quasi Money,,10.9,13.2,15.2,23.6,31.0,32.3,30.2,4.9,3.2
Money and Quasi Money,Currency in Circulation,1.5,1.4,2.0,3.4,3.3,3.1,,-2.0,-1.2
Money and Quasi Money,Demand Deposits,3.4,5.1,4.5,6.9,7.5,-0.5,,-2.2,0.9
Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,,,,,,10.2,,
Money and Quasi Money,Time and Savings Deposits,6.0,6.7,8.7,13.3,20.2,29.7,20.0,9.1,3.6
Foreign Assets (net),,7.4,-4.5,-2.5,-2.0,-5.7,-3.4,-20.1,-5.0,-21.1
Domestic Assets (net),,3.6,17.7,17.7,25.6,36.7,35.7,50.4,9.9,24.3
Domestic Assets (net),Claims on Private Sector,5.2,14.1,19.0,21.1,24.9,30.7,27.0,10.6,16.1
Claims on Public Sector (net),,-7.7,13.4,2.2,12.5,15.8,17.5,30.0,2.3,12.7
Claims on Public Sector (net),National Government (net),-5.0,17.3,4.8,14.3,10.7,25.9,,8.0,18.1
Claims on Public Sector (net),Official entities (net),-2.7,-3.9,-2.6,-1.8,5.1,-8.4,,-5.7,-5.4
Other Items (net; increase shown as negative),,-3.9,-9.8,-3.5,-8.0,-4.0,-12.5,-6.6,3.0,-4.5
Other Items (net; increase shown as negative),Import Deposits,-2.6,-2.2,-2.3,-2.4,2.2,-0.5,-2.3,1.2,1.5
Other Items (net; increase shown as negative),Capital Accounts,,,-2.2,-3.7,-2.4,-2.7,,-2.0,-4.3
Other Items (net; increase shown as negative),SDR Allocation,,,0,0,0,-1.6,,0,0
Other Items (net; increase shown as negative),Other Items,-1.3,-7.6,1.0,-1.9,-3.8,-7.7,,-2.2,-1.8
Changes in Percent,Claims on Private Sector,21,16,19,17,17,18,14,6,8
Changes in Percent,Money Supply and Quasi-Money,13,14,14,20,21,18,15,3,2
