fiscal_year_ah,fiscal_year_western_end,law_type,hierarchy_level,revenue_rials,expenditure_rials,value_source,notes,approved_date_ah,gazette_issue_no,country_iso3,source_file,revenue_usd_nominal,revenue_usd_real_2015,expenditure_usd_nominal,expenditure_usd_real_2015,currency_conversion_note
1341,1963,main,Grand Total,86326243863,90440043863,printed,Sum of the 5 components below verified to match exactly (rev: 39503332000+17190714863+5074450000+8542747000+16015000000=86326243863; exp: 43617132000+17190714863+5074450000+8542747000+16015000000=90440043863).,"17 Aban 1343 AH solar (retroactive, ~2 years after FY end)",5839,IRN,budget-law-1341-whole-country.html,1139620379.8901,5008416415.4302,1193927970.5949,5247088023.5972,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1341,1963,main,General revenue/expenditure (درآمد/هزینه عمومی),39503332000,43617132000,printed,Component 1 of 5 in the law's own 'خلاصه بودجه' (budget summary) table.,17 Aban 1343 AH solar,5839,IRN,budget-law-1341-whole-country.html,521496131.4917,2291877042.2466,575803722.1965,2530548650.4136,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1341,1963,main,Earmarked revenue/expenditure (درآمد/هزینه اختصاصی),17190714863,17190714863,printed,Component 2 of 5.,17 Aban 1343 AH solar,5839,IRN,budget-law-1341-whole-country.html,226940129.9777,997359026.1783,226940129.9777,997359026.1783,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1341,1963,main,Industrial & mining companies (شرکتهای صنعتی و معدنی),5074450000,5074450000,printed,Component 3 of 5.,17 Aban 1343 AH solar,5839,IRN,budget-law-1341-whole-country.html,66989438.8769,294405936.6189,66989438.8769,294405936.6189,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1341,1963,main,National Iranian Oil Company (شرکت ملی نفت),8542747000,8542747000,printed,"Component 4 of 5. Law's own footnote 1: NIOC total including 375 million rials sourced from oil revenue already counted within general revenue/expenditure is 8,917,747,000 rials (not used here -- kept as printed component to avoid double count).",17 Aban 1343 AH solar,5839,IRN,budget-law-1341-whole-country.html,112775537.841,495627197.3974,112775537.841,495627197.3974,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1341,1963,main,Plan Organization (سازمان برنامه),16015000000,16015000000,printed,Component 5 of 5.,17 Aban 1343 AH solar,5839,IRN,budget-law-1341-whole-country.html,211419141.7028,929147212.989,211419141.7028,929147212.989,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1343,1965,revised (اصلاحی),Grand Total,140952677000,144444162000,printed,"Deficit of 3,491,485,000 rials, entirely traceable to the General+Class-A-earmarked subset below (54,095,390,000-50,603,905,000=3,491,485,000, exact match) -- state-companies/Plan-Org components not itemized in the single-article clause read.","4 Mordad 1343 AH solar (signed 8 Mordad, published 31 Mordad)",5682,IRN,budget-law-1343-revised-whole-country.html,1860761410.6805,7710828527.2289,1906853621.8555,7901830519.6237,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1343,1965,revised (اصلاحی),General + Class-A earmarked revenue/expenditure subset,50603905000,54095390000,printed,"Explicitly printed subset of the grand total (general-treasury-financed portion only, excludes state companies/Plan Organization).",4 Mordad 1343 AH solar,5682,IRN,budget-law-1343-revised-whole-country.html,668038349.1669,2768291050.3585,714130560.342,2959293042.7534,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1344,1966,main,Grand Total,175046000000,176662000000,printed,"Deficit of 1,616,000,000 rials overall; the General+Class-A-earmarked subset below has a smaller deficit of 1,394,050,000 -- the two deficits do NOT match exactly (unlike FY1343), implying additional deficit-bearing components outside the subset that were not itemized in the clause read. Not reconciled, kept as printed.","27 Esfand 1343 AH solar (signed 1 Farvardin 1344, published 30 Farvardin 1344)",5871,IRN,budget-law-1344-whole-country.html,2310838281.5175,9611307509.0732,2332171614.8295,9700037745.3235,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1344,1966,main,General + Class-A earmarked revenue/expenditure subset,58301631000,59695681000,printed,Explicitly printed subset (general-treasury-financed portion only).,27 Esfand 1343 AH solar,5871,IRN,budget-law-1344-whole-country.html,769658494.2798,3201186567.0825,788061794.5915,3277730122.6794,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1346,1968,main,Grand Total,217231910000,217231910000,printed,"Balanced on paper (revenue=expenditure), as were most FY laws through the mid-1350s.","28 Esfand 1345 AH solar (signed 29 Esfand 1345, published 17 Farvardin 1346)",6444,IRN,budget-law-1346-whole-country.html,2867747983.9309,11647732885.728,2867747983.9309,11647732885.728,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1346,1968,main,General + Class-A earmarked revenue/expenditure subset,73256131000,73256131000,printed,"Explicitly printed subset, also balanced.",28 Esfand 1345 AH solar,6444,IRN,budget-law-1346-whole-country.html,967077635.9966,3927912092.3344,967077635.9966,3927912092.3344,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1352,1974,main,Grand Total,692731602000,692731602000,printed,Balanced on paper. Sum of the 4 lettered parts below verified exact: 470583786000+18163194000+196893219000+7091403000=692731602000.,"27 Esfand 1351 AH solar (signed 29 Esfand 1351, published 2 Ordibehesht 1352)",8225,IRN,budget-law-1352-whole-country.html,10241245649.3595,25372992591.4879,10241245649.3595,25372992591.4879,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811)"
