country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,computed,notes
IRN,Iran,1965,10.9,"billion rials (year-over-year change, flow not level)",money_and_quasi_money,Money and Quasi Money,wb1971-table6.2-changes-money-quasi-money,1964/65,false,
IRN,Iran,1965,0.1439,current US$ (computed),money_and_quasi_money.USD_NOMINAL,"Money and Quasi Money (computed, nominal US$)",wb1971-table6.2-changes-money-quasi-money,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1965,0.5963,constant 2015 US$ (computed),money_and_quasi_money.USD_REAL_2015,"Money and Quasi Money (computed, real 2015 US$)",wb1971-table6.2-changes-money-quasi-money,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1966,13.2,"billion rials (year-over-year change, flow not level)",money_and_quasi_money,Money and Quasi Money,wb1971-table6.2-changes-money-quasi-money,1965/66,false,
IRN,Iran,1966,0.1743,current US$ (computed),money_and_quasi_money.USD_NOMINAL,"Money and Quasi Money (computed, nominal US$)",wb1971-table6.2-changes-money-quasi-money,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1966,0.7248,constant 2015 US$ (computed),money_and_quasi_money.USD_REAL_2015,"Money and Quasi Money (computed, real 2015 US$)",wb1971-table6.2-changes-money-quasi-money,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1967,15.2,"billion rials (year-over-year change, flow not level)",money_and_quasi_money,Money and Quasi Money,wb1971-table6.2-changes-money-quasi-money,1966/67,false,
IRN,Iran,1967,0.2007,current US$ (computed),money_and_quasi_money.USD_NOMINAL,"Money and Quasi Money (computed, nominal US$)",wb1971-table6.2-changes-money-quasi-money,1966/67,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
IRN,Iran,1967,0.8209,constant 2015 US$ (computed),money_and_quasi_money.USD_REAL_2015,"Money and Quasi Money (computed, real 2015 US$)",wb1971-table6.2-changes-money-quasi-money,1966/67,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
IRN,Iran,1968,23.6,"billion rials (year-over-year change, flow not level)",money_and_quasi_money,Money and Quasi Money,wb1971-table6.2-changes-money-quasi-money,1967/68,false,
IRN,Iran,1968,0.3116,current US$ (computed),money_and_quasi_money.USD_NOMINAL,"Money and Quasi Money (computed, nominal US$)",wb1971-table6.2-changes-money-quasi-money,1967/68,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
IRN,Iran,1968,1.2654,constant 2015 US$ (computed),money_and_quasi_money.USD_REAL_2015,"Money and Quasi Money (computed, real 2015 US$)",wb1971-table6.2-changes-money-quasi-money,1967/68,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
IRN,Iran,1969,31.0,"billion rials (year-over-year change, flow not level)",money_and_quasi_money,Money and Quasi Money,wb1971-table6.2-changes-money-quasi-money,1968/69,false,
