year,area,metric,value,unit
1965,urban,households_surveyed,1192,count
1965,rural,households_surveyed,1015,count
1966,urban,households_surveyed,1224,count
1966,rural,households_surveyed,2182,count
1967,urban,households_surveyed,1618,count
1967,rural,households_surveyed,11569,count
1968,urban,households_surveyed,3719,count
1968,rural,households_surveyed,8306,count
1969,urban,households_surveyed,4301,count
1969,rural,households_surveyed,4708,count
1970,urban,households_surveyed,6048,count
1970,rural,households_surveyed,3772,count
1971,urban,households_surveyed,14344,count
1971,rural,households_surveyed,14766,count
1965,urban,total_expenditure,8256.2,rials_per_month_per_household
1965,rural,total_expenditure,3767.5,rials_per_month_per_household
1966,urban,total_expenditure,8401.6,rials_per_month_per_household
1966,rural,total_expenditure,3978.2,rials_per_month_per_household
1967,urban,total_expenditure,8273.8,rials_per_month_per_household
1967,rural,total_expenditure,4386.7,rials_per_month_per_household
1968,urban,total_expenditure,8385.5,rials_per_month_per_household
1968,rural,total_expenditure,4055.4,rials_per_month_per_household
1969,urban,total_expenditure,7570.4,rials_per_month_per_household
1969,rural,total_expenditure,3957.5,rials_per_month_per_household
1970,urban,total_expenditure,9654.4,rials_per_month_per_household
1970,rural,total_expenditure,4179.2,rials_per_month_per_household
1971,urban,total_expenditure,9261.8,rials_per_month_per_household
1971,rural,total_expenditure,4985.2,rials_per_month_per_household
1965,urban,expenditure_food_and_tobacco,4100.2,rials_per_month_per_household
1965,rural,expenditure_food_and_tobacco,2517.9,rials_per_month_per_household
1966,urban,expenditure_food_and_tobacco,3958.7,rials_per_month_per_household
1966,rural,expenditure_food_and_tobacco,2391.6,rials_per_month_per_household
1967,urban,expenditure_food_and_tobacco,3978.6,rials_per_month_per_household
1967,rural,expenditure_food_and_tobacco,2724.3,rials_per_month_per_household
1968,urban,expenditure_food_and_tobacco,4142.7,rials_per_month_per_household
1968,rural,expenditure_food_and_tobacco,2580.6,rials_per_month_per_household
1969,urban,expenditure_food_and_tobacco,3893.0,rials_per_month_per_household
1969,rural,expenditure_food_and_tobacco,2631.1,rials_per_month_per_household
1970,urban,expenditure_food_and_tobacco,4503.3,rials_per_month_per_household
1970,rural,expenditure_food_and_tobacco,2791.1,rials_per_month_per_household
1971,urban,expenditure_food_and_tobacco,4345.3,rials_per_month_per_household
1971,rural,expenditure_food_and_tobacco,3192.3,rials_per_month_per_household
1965,urban,expenditure_non_food_items,4156.1,rials_per_month_per_household
1965,rural,expenditure_non_food_items,1250.6,rials_per_month_per_household
1966,urban,expenditure_non_food_items,4442.9,rials_per_month_per_household
1966,rural,expenditure_non_food_items,1595.6,rials_per_month_per_household
1967,urban,expenditure_non_food_items,4295.2,rials_per_month_per_household
1967,rural,expenditure_non_food_items,1662.4,rials_per_month_per_household
1968,urban,expenditure_non_food_items,4242.8,rials_per_month_per_household
1968,rural,expenditure_non_food_items,1424.8,rials_per_month_per_household
1969,urban,expenditure_non_food_items,3677.4,rials_per_month_per_household
1969,rural,expenditure_non_food_items,1326.4,rials_per_month_per_household
1970,urban,expenditure_non_food_items,5151.1,rials_per_month_per_household
