year,national_vehicle_production_units,notes,source
1967,6000,"Paykan sedan production begins 13 May 1967 at Iran National (later Iran Khodro), assembling Hillman Hunter CKD (complete-knock-down) kits exported by Rootes Group (UK); initial rate ~6,000 units/year","Wikipedia (Paykan; Automotive industry in Iran) -- secondary source, cross-referenced against World Bank 1972 narrative confirming Paykan's dominant market position by the early 1970s"
1969,,Paykan pickup variant production begins,Wikipedia (Paykan)
1970,35000,"National total motor vehicle production (all makes/models combined, not Paykan alone)",Wikipedia (Automotive industry in Iran) production-by-year table
mid-1970s,,"Full-scale local manufacturing of the Paykan body (excluding engine) begins in Iran -- prior to this, deeper localization was still in progress beyond simple assembly",Wikipedia (Paykan)
1972,,World Bank report (1972_industrial_policies_and_priorities.pdf) states the Paykan had 'the largest market' among Iranian-made automobiles and was priced only ~15% above an international competitive-tender price recently set in Kuwait -- the most internationally price-competitive Iranian manufactured good in the report's price-comparison survey (Annex Table 5),World Bank Archives (primary source) -- see companion dataset wb1972industrial-isfahan-steel-and-idro-capital-goods
1977,,Facelift model designed by Roy Axe incorporating Chrysler Alpine parts,Wikipedia (Paykan)
1978-1979,,"Following PSA Peugeot Citroen's acquisition of Chrysler Europe (Rootes' corporate successor), Paykan engine-production tooling moved to Iran; engine went into full-scale local manufacture under Peugeot license",Wikipedia (Paykan)
1979,~100000,"Approximate annual Paykan output reached by 1979 per secondary-source synthesis (pre-revolution peak) -- NOTE this figure is for Paykan specifically and is NOT directly reconcilable with the 1980 all-vehicle total of 161,000 below (different scope: single model vs. whole industry; also different source lineage) -- flagged as an unresolved discrepancy rather than silently picked","Web search synthesis of secondary automotive-history sources (bestsellingcarsblog.com; aronline.co.uk) -- lower confidence than the World Bank/Wikipedia table entries, not independently verified against a primary Iranian industrial statistics source"
1980,161000,"National total motor vehicle production (all makes/models combined) -- post-revolution, pre-war-disruption year",Wikipedia (Automotive industry in Iran) production-by-year table
1980s (general),,"Under state ownership after the 1979 revolution, Iran Khodro prioritized continuity of Paykan production; localization of components increased (reducing import reliance) but overall industry output initially declined due to Iran-Iraq War disruption and international sanctions/isolation",Wikipedia (Iran Khodro; Automotive industry in Iran)
1990,44665,National total motor vehicle production -- illustrates the severity of the Iran-Iraq War-era production collapse relative to 1980,Wikipedia (Automotive industry in Iran) production-by-year table
2000,277985,National total motor vehicle production -- post-war recovery well underway,Wikipedia (Automotive industry in Iran) production-by-year table
2005,817200,National total motor vehicle production; also the year final Paykan SEDAN production ended (2.3 million Paykans produced cumulatively 1967-2005); production line sold to Sudan's Khartoum Transport Company,Wikipedia (Paykan; Automotive industry in Iran)
2015,,Paykan PICKUP variant production finally ends (outlasted the sedan by a decade),Wikipedia (Paykan)
