year,metric,value,unit,source,notes,country_iso3,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1890,Annual concession payment to Imperial Treasury (Tobacco Regie),15000,GBP,"Encyclopaedia Iranica (via multiple sources incl. Wikipedia 'Tobacco Protest', citing parliamentary/historical accounts); corroborated by UK Hansard, 'The Persian Tobacco Concession', House of Commons, 23 May 1892","Terms of the March 1890 concession granted to Major Gerald F. Talbot: 50-year monopoly over production/sale of Iran's tobacco, in exchange for an annual GBP 15,000 payment plus 25% of net profits after a 5% dividend on capital.",IRN,,,
1890,Immediate concession payment to Shah,25000,GBP,"Wikipedia 'Tobacco Protest', citing historical accounts of the 1890 concession terms","One-time payment in addition to the GBP 15,000 annual sum.",IRN,,,
1890,Imperial Tobacco Corporation of Persia prospectus-projected annual net profit,371875,GBP,"UK Hansard, 'The Persian Tobacco Concession', House of Commons, 23 May 1892","PROJECTED/ADVERTISED figure from the Corporation's flotation prospectus, not an actual realized profit -- the concession was annulled in 1892 (after the tobacco boycott/fatwa) before full operation, so this figure was never achieved. Included to illustrate the scale of profit the concessionaires publicly promised investors, which is itself part of why the concession was so controversial domestically.",IRN,,,
1920,Cigarette tobacco excise tax rate,20,percent ad valorem,"Encyclopaedia Iranica, DOKANIYAT, citing Khosravani 1924 and Jamalzada",Levied on merchants (not growers) from June 1919 under the post-Regie excise system; water-pipe/pipe tobacco taxed at 30%.,IRN,,,
1929,Tobacco tax share of total government revenue,3.5,percent,"Encyclopaedia Iranica, DOKANIYAT, citing Lingeman 1928/1930 and Hadow 1925",End of the 1920s; described as 'almost as important a source of revenue as opium.' This immediately preceded the 20 March 1929 law converting the excise into a full state purchase/sale/production monopoly.,IRN,,,
1934,Sherkat-e Dokhaniyat-e Iran initial capitalization,10000000,rials,"Encyclopaedia Iranica, DOKANIYAT, citing Simmonds 1935, p.32","State tobacco-monopoly's centralized purchase/sale syndicate, established following the 1933 revision of the monopoly law.",IRN,,,"no FX rate for 1934 (known gap), not converted"
1940,Tobacco cultivation area,30000,acres,"Encyclopaedia Iranica, DOKANIYAT, citing 'Persia' (London, 1942) and Salnama 1356","Iranian year 1319 Sh./1940. Described as sufficient only to meet domestic demand -- output no longer a significant export commodity by this point, unlike the pre-monopoly 19th century trade.",IRN,,,
1940,Tobacco annual output,13500,tons,"Encyclopaedia Iranica, DOKANIYAT, citing 'Persia' (London, 1942) and Salnama 1356",Iranian year 1319 Sh./1940. NOTE: FAOSTAT's earliest 'Unmanufactured tobacco' production series for Iran begins 1961 -- this figure fills a genuine 21-year pre-FAOSTAT gap.,IRN,,,
1940,Cigarette production rate,12000000,cigarettes per day,"Encyclopaedia Iranica, DOKANIYAT, citing 'Persia' (London, 1942)",Iranian year 1319 Sh./1940.,IRN,,,
1967,Dokhaniyat total workforce,750000,people,"Encyclopaedia Iranica, DOKANIYAT, citing Salnama-ye Keshvar-e Iran 1346 (1967), p.563","Iranian year 1346 Sh./1967. Breakdown: ~350,000 farmers + ~350,000 in sales; remainder factory workers and headquarters staff. This is the state monopoly's full economic footprint (growers + distribution + processing), not just factory employment.",IRN,,,
1986,Cigarettes sold in Iran,30000000000,cigarettes,"Encyclopaedia Iranica, DOKANIYAT, citing Salnama-ye Keshvar-e Iran 1367 (1988)",Iranian year 1365 Sh./1986. Reported as a 7% increase over the preceding year; about 60% were domestically produced (the remainder presumably imported).,IRN,,,
1995,Dokhaniyat factory workforce,7500,people,"Encyclopaedia Iranica, DOKANIYAT (article published 1995, 'remains in effect today')","As of article publication: three state tobacco factories operating (Tehran, Isfahan, Rasht); a limited amount of water-pipe tobacco (tanbaku) exported to neighboring countries.",IRN,,,
