year,metric,value,unit,source,notes,country_iso3
2013,Caviar production,1,tonnes,"Tehran Times [STATE-MEDIA-ATTRIBUTED], 'Caviar output reaches 12 tons in a year', 18 July 2021, quoting IFO head Nabiollah Khoun-Mirzaei",Iranian year 1392 (ended 20 March 2014). Cited as the historical low point after the wild-catch collapse and pre-aquaculture-expansion baseline. Sturgeon meat output same year: 600 tonnes.,IRN
2013,Sturgeon meat production,600,tonnes,"Tehran Times [STATE-MEDIA-ATTRIBUTED], 'Caviar output reaches 12 tons in a year', 18 July 2021, quoting IFO head Nabiollah Khoun-Mirzaei",Iranian year 1392 (ended 20 March 2014). Companion figure to the caviar production row above.,IRN
2020,Caviar production,11,tonnes,"Financial Tribune, 'Caviar Production Hit 18.5 Tons, Exports 5.5 Tons in FY 2022-23' (headline/lede figure, via search index; full article body not directly retrievable in this session -- see failures)","Iranian year 1399 (ended 20 March 2021), given as prior-year comparison base for the FY2022-23 figure. Cross-checked: consistent with the trajectory implied by the 1-ton 2013/14 baseline and 12-ton mid-2021 figure below.",IRN
2021,Caviar production,12,tonnes,"Tehran Times [STATE-MEDIA-ATTRIBUTED], 'Caviar output reaches 12 tons in a year', 18 July 2021, quoting IFO head Nabiollah Khoun-Mirzaei","As of speech date July 2021 (Iranian year ~1400). Directly fetched and confirmed. Sturgeon meat output 'over 3,500 tonnes' same period.",IRN
2021,Sturgeon meat production,3500,tonnes,"Tehran Times [STATE-MEDIA-ATTRIBUTED], 'Caviar output reaches 12 tons in a year', 18 July 2021, quoting IFO head Nabiollah Khoun-Mirzaei","'Over 3,500 tons' as printed -- lower bound, exact figure not given. Directly fetched and confirmed.",IRN
2022,Caviar production,18.5,tonnes,"Financial Tribune, 'Caviar Production Hit 18.5 Tons, Exports 5.5 Tons in FY 2022-23' (headline figure, via search index)","Iranian fiscal year 2022-23 (ended 20 March 2023), per an IFO official. Reported as a 68% increase over the FY2020-21 (11-tonne) figure above.",IRN
2022,Caviar export volume,5.5,tonnes,"Financial Tribune, 'Caviar Production Hit 18.5 Tons, Exports 5.5 Tons in FY 2022-23' (headline figure, via search index)",Same fiscal year as the production figure above.,IRN
2022,Sturgeon meat production,4600,tonnes,"Financial Tribune, 'Caviar Production Hit 18.5 Tons, Exports 5.5 Tons in FY 2022-23' (via search index)",FY2022-23 (ended 20 March 2023).,IRN
2024,Caviar production (start of period),21.6,tonnes,"Mehr News Agency, 'Iran's annual production of caviar rises by 17%'",Iranian year ending 20 March 2024 (prior-year comparison base for the 25.1-tonne figure below); directly fetched and confirmed.,IRN
2024,Caviar production (end of period),25.1,tonnes,"Mehr News Agency, 'Iran's annual production of caviar rises by 17%'","Iranian year ending 20 March 2025 -- production rose from 21.6 to 25.1 tonnes, a 17% increase. Directly fetched and confirmed.",IRN
2024,Caviar export volume,7.5,tonnes,"Mehr News Agency, 'Iran's annual production of caviar rises by 17%'","Approximately 7.5 tonnes of caviar exported through Iranian customs, same period (Iranian year ending 20 March 2025). Directly fetched and confirmed.",IRN
