country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1968,1926,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_total,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, total",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1970,3471,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_total,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, total",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1971,4519,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_total,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, total",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1972,5557,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_total,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, total",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1968,636,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_industrial,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, industrial",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1970,1426,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_industrial,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, industrial",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1971,2035,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_industrial,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, industrial",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1972,2501,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_industrial,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, industrial",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1968,48,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_agricultural,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, agricultural",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1970,91,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_agricultural,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, agricultural",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1971,120,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_agricultural,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, agricultural",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1972,150,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_agricultural,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, agricultural",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1968,173,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_street_lighting,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, Street lighting",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1970,256,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_street_lighting,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, Street lighting",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1971,311,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_street_lighting,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, Street lighting",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1972,432,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_street_lighting,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, Street lighting",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1968,642,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_domestic,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, domestic",wb1974-table15.3-electric-power-generation-by-plant-and-use
IRN,Iran,1970,808,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",electric_power_generation_by_use_total_of_power_agencies_domestic,"Electric Power Generation by Use, TOTAL OF POWER AGENCIES, domestic",wb1974-table15.3-electric-power-generation-by-plant-and-use
