year,month,metric,value,unit,source_issue
1937,,exchange_rate_official,16.44,Rials,ifs_1949-12
1938,,exchange_rate_official,16.73,Rials,ifs_1949-12
1939,,exchange_rate_official,18.37,Rials,ifs_1949-12
1940,,exchange_rate_official,17.11,Rials,ifs_1949-12
1941,,exchange_rate_official,17.11,Rials,ifs_1949-12
1942,,exchange_rate_official,32.5,Rials,ifs_1949-12
1943,,exchange_rate_official,32.5,Rials,ifs_1949-12
1944,,exchange_rate_official,32.5,Rials,ifs_1949-12
1945,,exchange_rate_official,32.5,Rials,ifs_1949-12
1946,,exchange_rate_official,32.5,Rials,ifs_1949-12
1947,,exchange_rate_official,32.5,Rials,ifs_1949-12
1948,,exchange_rate_official,32.5,Rials,ifs_1949-12
1945,,exchange_rate_certificate,49.34,Rials,ifs_1949-12
1946,,exchange_rate_certificate,46.13,Rials,ifs_1949-12
1947,,exchange_rate_certificate,60.81,Rials,ifs_1949-12
1948,,exchange_rate_certificate,60.34,Rials,ifs_1949-12
1937,,bank_melli_gold_reserves,26,Millions USD,ifs_1949-12
1938,,bank_melli_gold_reserves,26,Millions USD,ifs_1949-12
1939,,bank_melli_gold_reserves,26,Millions USD,ifs_1949-12
1940,,bank_melli_gold_reserves,26,Millions USD,ifs_1949-12
1941,,bank_melli_gold_reserves,26,Millions USD,ifs_1949-12
1942,,bank_melli_gold_reserves,61,Millions USD,ifs_1949-12
1943,,bank_melli_gold_reserves,111,Millions USD,ifs_1949-12
1944,,bank_melli_gold_reserves,134,Millions USD,ifs_1949-12
1945,,bank_melli_gold_reserves,127,Millions USD,ifs_1949-12
1946,,bank_melli_gold_reserves,149,Millions USD,ifs_1949-12
1947,,bank_melli_gold_reserves,142,Millions USD,ifs_1949-12
1948,,bank_melli_gold_reserves,140,Millions USD,ifs_1949-12
1937,,bank_melli_fx_reserves,9,Millions USD,ifs_1949-12
1938,,bank_melli_fx_reserves,12,Millions USD,ifs_1949-12
1939,,bank_melli_fx_reserves,16,Millions USD,ifs_1949-12
