term,value,unit,notes
signing_date,1901-05-28,date,"Signed between William Knox D'Arcy and Mozaffar ad-Din Shah Qajar"
duration,60,years,"From signing date; exclusive prospecting/exploitation rights"
territory_area,1242000,sq_km,"~three-quarters of Persia; D'Arcy deliberately excluded the five northernmost provinces bordering Russia to avoid provoking Russian objections"
upfront_cash_payment,20000,GBP,"Paid to the Shah on signing"
upfront_share_payment,20000,GBP,"Equivalent value in company shares, paid to the Shah on signing"
annual_royalty_rate,16,percent_of_net_profits,"Vaguely defined as 16% of 'annual net profits'; became the central dispute driving the 1933 renegotiation"
annual_fixed_payment_existing_mines,2000,tomans,"Fixed annual payment for three pre-existing petroleum mines already known at signing"
company_formation_deadline,2,years,"Per Article 16, D'Arcy had two years from the concession date to form the first operating company or the concession would lapse"
scope_of_rights,"search, obtain, exploit, develop, render suitable for trade, carry away and sell natural gas, petroleum, asphalt and ozokerite",qualitative,"Direct quoted scope language from the concession text, covering 'the whole extent of the Persian Empire' (within the granted territory)"
pipeline_rights,"exclusive right to construct pipelines from oil deposits to the Persian Gulf, plus wells/reservoirs/distribution infrastructure",qualitative,"Included in the concession"
excluded_area,"holy places and their dependencies within 200 Persian archines",qualitative,"Formally excluded from the concession territory"
successor_agreement_1933_ratification_date,1933-05-28,date,"Ratified by the National Consultative Assembly (Majlis) 28 May 1933, Royal assent following day -- replaced the original 1901 D'Arcy Concession after the Anglo-Persian Oil Company's 1901 concession was formally cancelled by Reza Shah in Nov 1932 amid the royalty dispute"
successor_agreement_1933_new_expiry,1993,year,"Duration extended from the original 1961 expiry (1901+60yr) to 1993"
successor_agreement_1933_royalty_per_ton,4,shillings_per_ton,"Fixed royalty replacing the vague 16%-of-net-profits formula, protecting Persia against oil-price fluctuations"
successor_agreement_1933_profit_share,20,percent_of_distributed_profits_above_minimum,"Persia also entitled to 20% of the company's worldwide distributed profits above a specified minimum sum"
successor_agreement_1933_minimum_annual_payment,750000,GBP,"Guaranteed minimum annual payment irrespective of production/profit levels"
successor_agreement_1933_area_reduction,"480000 sq mi reduced to 100000 sq mi by 1938 (~80% of the 1901 concession area relinquished)",qualitative,"Area reduction phased in via relinquishment schedule through 1938"
