year,countries_ranked_that_year,indicator,value
2010,135,countries_ranked_total,135
2010,135,CIP_rank,58
2010,135,CIP_score,0.054
2010,135,mva_per_capita_usd2005,0.041
2010,135,manufacturing_export_per_capita_current_usd,0.012
2010,135,medium_high_tech_share_in_mva,0.53
2010,135,mva_share_in_gdp,0.294
2010,135,medium_high_tech_share_in_manufactured_exports,0.287
2010,135,manufactured_exports_share_in_total_exports,0.343
2010,135,share_in_world_mva,0.022
2010,135,share_in_world_manufactured_trade,0.019
2011,133,countries_ranked_total,133
2011,133,CIP_rank,64
2011,133,CIP_score,0.048
2011,133,mva_per_capita_usd2005,0.039
2011,133,manufacturing_export_per_capita_current_usd,0.009
2011,133,medium_high_tech_share_in_mva,0.509
2011,133,mva_share_in_gdp,0.301
2011,133,medium_high_tech_share_in_manufactured_exports,0.362
2011,133,manufactured_exports_share_in_total_exports,0.2
2011,133,share_in_world_mva,0.021
2011,133,share_in_world_manufactured_trade,0.014
2012,147,countries_ranked_total,147
2012,147,CIP_rank,67
2012,147,CIP_score,0.045
2012,147,mva_per_capita_usd2005,0.035
2012,147,manufacturing_export_per_capita_current_usd,0.01
2012,147,medium_high_tech_share_in_mva,0.475
2012,147,mva_share_in_gdp,0.292
2012,147,medium_high_tech_share_in_manufactured_exports,0.365
2012,147,manufactured_exports_share_in_total_exports,0.199
2012,147,share_in_world_mva,0.017
2012,147,share_in_world_manufactured_trade,0.013
2013,143,countries_ranked_total,143
2013,143,CIP_rank,66
2013,143,CIP_score,0.043
2013,143,mva_per_capita_usd2005,0.035
2013,143,manufacturing_export_per_capita_current_usd,0.008
2013,143,medium_high_tech_share_in_mva,0.472
2013,143,mva_share_in_gdp,0.297
2013,143,medium_high_tech_share_in_manufactured_exports,0.369
2013,143,manufactured_exports_share_in_total_exports,0.195
2013,143,share_in_world_mva,0.016
2013,143,share_in_world_manufactured_trade,0.012
2014,144,countries_ranked_total,144
2014,144,CIP_rank,66
2014,144,CIP_score,0.043
2014,144,mva_per_capita_usd2005,0.035
2014,144,manufacturing_export_per_capita_current_usd,0.009
2014,144,medium_high_tech_share_in_mva,0.5
2014,144,mva_share_in_gdp,0.302
2014,144,medium_high_tech_share_in_manufactured_exports,0.338
2014,144,manufactured_exports_share_in_total_exports,0.198
2014,144,share_in_world_mva,0.015
2014,144,share_in_world_manufactured_trade,0.012
