country_label_source_fa,country_common_name,year,cip_rank,cip_score
رژیم اشغالگر قدس,Israel,2010,26,0.163
رژیم اشغالگر قدس,Israel,2011,29,0.148
رژیم اشغالگر قدس,Israel,2012,27,0.148
رژیم اشغالگر قدس,Israel,2013,27,0.145
رژیم اشغالگر قدس,Israel,2014,28,0.144
ترکیه,Turkey,2010,32,0.134
ترکیه,Turkey,2011,31,0.134
ترکیه,Turkey,2012,30,0.132
ترکیه,Turkey,2013,30,0.131
ترکیه,Turkey,2014,30,0.132
عربستان,Saudi Arabia,2010,37,0.104
عربستان,Saudi Arabia,2011,37,0.107
عربستان,Saudi Arabia,2012,36,0.108
عربستان,Saudi Arabia,2013,37,0.103
عربستان,Saudi Arabia,2014,37,0.104
امارات,United Arab Emirates,2010,54,0.065
امارات,United Arab Emirates,2011,53,0.064
امارات,United Arab Emirates,2012,49,0.071
امارات,United Arab Emirates,2013,44,0.079
امارات,United Arab Emirates,2014,40,0.083
بحرین,Bahrain,2010,45,0.078
بحرین,Bahrain,2011,44,0.08
بحرین,Bahrain,2012,51,0.071
بحرین,Bahrain,2013,51,0.069
بحرین,Bahrain,2014,50,0.069
کویت,Kuwait,2010,49,0.07
کویت,Kuwait,2011,48,0.071
کویت,Kuwait,2012,44,0.08
کویت,Kuwait,2013,46,0.074
کویت,Kuwait,2014,51,0.067
عمان,Oman,2010,68,0.046
عمان,Oman,2011,62,0.049
عمان,Oman,2012,61,0.052
عمان,Oman,2013,60,0.048
عمان,Oman,2014,59,0.048
قزاقستان,Kazakhstan,2010,65,0.048
قزاقستان,Kazakhstan,2011,59,0.051
قزاقستان,Kazakhstan,2012,60,0.053
قزاقستان,Kazakhstan,2013,63,0.046
قزاقستان,Kazakhstan,2014,62,0.046
قطر,Qatar,2010,55,0.064
قطر,Qatar,2011,51,0.068
قطر,Qatar,2012,38,0.101
قطر,Qatar,2013,41,0.082
قطر,Qatar,2014,63,0.045
ایران,Iran,2010,58,0.054
ایران,Iran,2011,64,0.048
ایران,Iran,2012,67,0.045
ایران,Iran,2013,66,0.043
ایران,Iran,2014,66,0.043
مصر,Egypt,2010,69,0.044
مصر,Egypt,2011,68,0.042
مصر,Egypt,2012,70,0.04
مصر,Egypt,2013,71,0.039
مصر,Egypt,2014,70,0.04
