period,type,total,budget,nioc,plan_organization,bpc,unit,notes
1955/56,actual,48.0,,24.5,23.5,,million US dollars,"6 months (footnote 1/). Budget and B.P.C. shown as nil (dash) in source."
1956/57,actual,140.7,35.3,30.4,72.6,2.4,million US dollars,
1957/58,actual,208.0,72.1,24.0,100.3,11.6,million US dollars,
1958/59,actual,244.9,83.3,24.0,130.6,7.0,million US dollars,"Plan Organization figure includes $27.1 million for underpayments in previous years (footnote 2/)."
Sub-total (actuals),actual_subtotal,641.6,,,327.0,21.0,million US dollars,"Budget and NIOC sub-totals not given in source table (blank cells)."
1959/60,estimate,260,103,20,130,7,million US dollars,"Estimates by Plan Organization based on Government's statement to Bank of March 16 1959 on distribution of oil revenues (footnote 3/)."
1960/61,estimate,280,103,20,150,7,million US dollars,
1961/62,estimate,302,111,20,162,7,million US dollars,
1962/63,estimate,164,62.5,10,88,3.5,million US dollars,"6 months (footnote 1/)."
Sub-total (estimates),estimate_subtotal,1006,379.5,70,530,24.5,million US dollars,"Assuming 8% per annum increase after 1959/60 (footnote 3/)."
