year,metric,value,unit,source,country_iso3
1932,cinemas_in_tehran,8,count,Encyclopaedia Iranica CINEMA i. History of Cinema in Persia (Gaffary 1991),IRN
1950,cinemas_total,80,count,"Encyclopaedia Iranica CINEMA i., citing UNESCO Press Film Radio Report IV, 1950",IRN
1950,cinemas_open_air_summer,20,count,"Encyclopaedia Iranica CINEMA i., citing UNESCO Press Film Radio Report IV, 1950",IRN
1950,cinema_annual_audience_total,9000000,persons,"Encyclopaedia Iranica CINEMA i., citing UNESCO Press Film Radio Report IV, 1950",IRN
1959,movie_houses_total,142,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.161 / UNESCO Statistical Yearbook 1961 p.152",IRN
1975,movie_houses_total,453,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.161",IRN
1975,movie_houses_in_tehran,112,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.161",IRN
1979,cinemas_total,198,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.161 and 1360 Sh (1981) p.203 -- post-revolution figure; ~255 cinemas burned or closed in the 2 years preceding the revolution",IRN
1986,theaters_total,247,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 1365 Sh (1986) p.227",IRN
1986,theaters_in_tehran,78,count,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 1365 Sh (1986) p.227",IRN
1986,theater_seats_total,156000,seats,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 1365 Sh (1986) p.227",IRN
1986,theater_seats_average_per_theater,631,seats,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 1365 Sh (1986) p.227",IRN
