year,metric,value,unit,source,country_iso3
1941,films_screened_total,250,count,"Encyclopaedia Iranica CINEMA i., citing Naficy 1979 p.449",IRN
1941,films_screened_share_us,60,percent,"Encyclopaedia Iranica CINEMA i., citing Naficy 1979 p.449",IRN
1941,films_screened_share_germany,20,percent,"Encyclopaedia Iranica CINEMA i., citing Naficy 1979 p.449",IRN
1941,films_screened_share_france,5,percent,"Encyclopaedia Iranica CINEMA i., citing Naficy 1979 p.449",IRN
1941,films_screened_share_ussr,5,percent,"Encyclopaedia Iranica CINEMA i., citing Naficy 1979 p.449",IRN
1950,films_distributed_annual_total,450,count,"Encyclopaedia Iranica CINEMA i., citing UNESCO Press Film Radio Report IV, 1950",IRN
1950,films_distributed_share_us,85,percent,"Encyclopaedia Iranica CINEMA i., citing UNESCO Press Film Radio Report IV, 1950",IRN
1955,films_produced_domestic_six_year_total,58,count,Encyclopaedia Iranica CINEMA i. -- six years ending mid-March 1955,IRN
1958,production_companies_active,22,count,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973",IRN
1958,standard_feature_budget,5000000,rials,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973",IRN
1959,full_length_films_produced,25,count,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973 (Table 43)",IRN
1966,full_length_films_produced,53,count,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973 (Table 43)",IRN
1971,full_length_films_produced,80,count,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973 (Table 43)",IRN
1976,full_length_films_produced,61,count,"Encyclopaedia Iranica CINEMA i., citing Gaffary 1973 (Table 43)",IRN
1955,film_producers_count,22,count,Encyclopaedia Iranica CINEMA i. -- 'mid-1330s Sh/1950s',IRN
1965,film_producers_count,40,count,Encyclopaedia Iranica CINEMA i. -- 'mid-1340s Sh/1960s',IRN
1972,film_producers_count,67,count,Encyclopaedia Iranica CINEMA i. -- 'early 1350s Sh/1970s',IRN
1966,production_companies_total_expenditure,247000000,rials,Encyclopaedia Iranica CINEMA i.,IRN
1976,production_companies_total_expenditure,546000000,rials,Encyclopaedia Iranica CINEMA i.,IRN
1966,avg_color_film_cost,6000000,rials,Encyclopaedia Iranica CINEMA i.,IRN
1971,avg_color_film_cost,8500000,rials,Encyclopaedia Iranica CINEMA i.,IRN
1976,avg_color_film_cost,12000000,rials,Encyclopaedia Iranica CINEMA i.,IRN
1975,film_exports_to_afghanistan,83,films,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.162",IRN
1975,film_exports_to_dubai,42,films,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.162",IRN
1975,film_exports_to_ussr,2,films,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.162",IRN
1975,film_exports_to_us,1,films,"Encyclopaedia Iranica CINEMA i., citing Iran Statistical Yearbook 2535 (1976) p.162",IRN
1974,films_shown_commercially_total,473,count,"Encyclopaedia Iranica CINEMA i., citing Tahaminezhad pp.195-96",IRN
1974,films_shown_from_us,143,count,"Encyclopaedia Iranica CINEMA i., citing Tahaminezhad pp.195-96",IRN
1974,films_shown_domestic_persian,61,count,"Encyclopaedia Iranica CINEMA i., citing Tahaminezhad pp.195-96",IRN
1974,films_shown_from_hong_kong,59,count,"Encyclopaedia Iranica CINEMA i., citing Tahaminezhad pp.195-96",IRN
1979,films_inspected_by_censors,2000,count,"Encyclopaedia Iranica CINEMA i., citing Naficy 1987 pp.448-52",IRN
1979,films_banned_by_censors,1800,count,"Encyclopaedia Iranica CINEMA i., citing Naficy 1987 pp.448-52",IRN
1982,films_reviewed_by_censors,26,count,"Encyclopaedia Iranica CINEMA i., citing Naficy 1987 pp.455-62",IRN
1982,films_rejected_by_censors,19,count,"Encyclopaedia Iranica CINEMA i., citing Naficy 1987 pp.455-62",IRN
