dam_name,location,overall_length_at_crest_m,height_from_foundation_m,area_under_cultivation_ha,utilization_date
Shavor,Ahvaz,21,7.5,5000,1937
Kheyrabad,Ahvaz,26,6.5,0,1940
Ravansar,Kermanshah,10,5.5,5000,1941
Shabankareh,Borazjan,110,3.5,10000,1942
Seyqalan,Rasht,40,2.3,350,1948
Heshmatrud,Lahijan,120,2.25,6000,1950
Cheghalvandi,Lorestan,40,3.2,1000,1952
Asad Khani,Lorestan,80,5.5,120,1952
Kuhrang,Esfahan,79,21.6,15000,1954
Karkheh,Ahvaz,191.6,5.5,10000,1956
Bampur,Iranshahr,0,5.5,3700,1957
Kohak,Zabol,68.3,6.3,15000,1957
Zahak,Zabol,52.5,8.3,65000,1957
Alvand,Qasr-e-Shirin,32,1.8,460,1959
Gonjancham,Dasht-e-Mehran,200,2.6,6000,1967
