year,series,metric,value,unit,source,notes
1925,domestic-schooling,government_schools_total,3300,count,"Wikipedia: Education in Iran (citing Menashri and other historians of Qajar-Pahlavi education transition)","End of Qajar dynasty / dawn of Pahlavi era baseline"
1925,domestic-schooling,total_student_enrollment,110000,persons,"Wikipedia: Education in Iran","Paired with row above"
1927,domestic-schooling,female_primary_enrollment,17000,persons,"Wikipedia: Education in Iran","21% of total primary enrollment at the time -- academic year given as 1926-27"
1927,domestic-schooling,female_primary_enrollment_share,21,percent,"Wikipedia: Education in Iran",""
1927,domestic-schooling,female_secondary_enrollment,700,persons,"Wikipedia: Education in Iran","6% of total secondary enrollment, academic year 1926-27"
1927,domestic-schooling,female_secondary_enrollment_share,6,percent,"Wikipedia: Education in Iran",""
1940,domestic-schooling,elementary_age_enrollment_share,10,percent,"Wikipedia: Education in Iran","Only 10% of elementary-age children were enrolled in school in 1940, illustrating how much expansion still lay ahead entering the Mohammad Reza Shah era"
1940,domestic-schooling,secondary_age_enrollment_share,1,percent,"Wikipedia: Education in Iran","Given as 'less than 1 percent' of 12-20 year-olds in secondary school; recorded as the upper bound"
1978,domestic-schooling,elementary_age_enrollment_share,75,percent,"Wikipedia: Education in Iran","Approximately 75% of elementary-age children enrolled by the end of the Pahlavi era -- a 7.5x improvement over 1940's 10%. Consistent in direction (though not identical in exact percentage points, being from different sources/methodologies) with the WDI SE.PRM.ENRR gross-enrollment-ratio series already in data/processed/macro_wdi.csv, which shows 99.8% GROSS primary enrollment for 1978 -- the WDI figure is a gross ratio (can exceed the true net enrollment share due to over-age/repeating students) while this figure is a net age-appropriate enrollment share, so the two are not directly comparable but both point to dramatic 1940-1978 improvement"
1978,domestic-schooling,secondary_age_enrollment_share,50,percent,"Wikipedia: Education in Iran","Given as 'somewhat less than 50 percent' of teenagers attending secondary school; recorded as the upper bound"
1997,domestic-schooling,primary_schools_count,63101,count,"Wikipedia: Education in Iran","Post-Pahlavi-era anchor point (kept per bookkeeping.md's rule to never discard/deprioritize Islamic-Republic-era data) -- useful as an end-state comparison against the 1925 baseline of 3,300 schools, an ~19x increase over 72 years"
1997,domestic-schooling,primary_students_count,9238393,persons,"Wikipedia: Education in Iran",""
1997,domestic-schooling,primary_teachers_count,298755,persons,"Wikipedia: Education in Iran",""
1997,domestic-schooling,primary_student_teacher_ratio,31,ratio,"Wikipedia: Education in Iran","31 students per teacher"
1997,domestic-schooling,secondary_students_count,8776792,persons,"Wikipedia: Education in Iran",""
1997,domestic-schooling,secondary_teachers_count,280309,persons,"Wikipedia: Education in Iran",""
1997,domestic-schooling,secondary_student_teacher_ratio,26,ratio,"Wikipedia: Education in Iran",""
2023,domestic-schooling,teachers_total,950000,persons,"Wikipedia: Education in Iran","Modern anchor point; source notes a concurrent shortage of about 60,000 teachers"
1975,students-in-usa,iranian_students_enrolled,7795,persons,"WENR (World Education News + Reviews) 'The Rise and Fall of Iranian Student Enrollments in the U.S.' (2017), citing IIE Open Doors annual census data","By 1975 Iran was already the LARGEST single foreign-student-sending country to the US, at 9% of all foreign students in the country"
1976,students-in-usa,iranian_students_enrolled,13928,persons,"WENR, citing IIE Open Doors","Near-doubling trajectory begins"
1977,students-in-usa,iranian_students_enrolled,25086,persons,"WENR, citing IIE Open Doors",""
1978,students-in-usa,iranian_students_enrolled,45340,persons,"WENR, citing IIE Open Doors","Academic year 1978-79"
1979,students-in-usa,iranian_students_enrolled,51310,persons,"WENR, citing IIE Open Doors","Academic year 1979-80, the ALL-TIME PEAK -- nearly triple the second-place sending country (Taiwan) that year. A companion figure from a different secondary source gives 53,300 (18% of that year's 286,300 total international students in the US) for the same academic year -- both recorded, the small discrepancy (51,310 vs 53,300) likely reflects different IIE Open Doors revision vintages or full-year vs. point-in-time counts, not a substantive dispute"
1979,students-in-usa,iranian_students_enrolled_share_of_all_international_alt,18,percent,"Secondary source (via WebSearch synthesis) citing IIE Open Doors","Alternate figure paired with the 53,300 alt count above; see note"
1998,students-in-usa,iranian_students_enrolled,1660,persons,"WENR, citing IIE Open Doors","Academic year 1998-99, the POST-REVOLUTION TROUGH -- a 97% collapse from the 1979/80 peak, driven by the 1979 hostage crisis / broken US-Iran diplomatic relations / visa restrictions"
2001,students-in-usa,iranian_students_enrolled,2216,persons,"WENR, citing IIE Open Doors","Academic year 2001-02"
2010,students-in-usa,iranian_students_enrolled,5626,persons,"WENR, citing IIE Open Doors","Academic year 2010-11"
2015,students-in-usa,iranian_students_enrolled,12269,persons,"WENR, citing IIE Open Doors","Academic year 2015-16 -- the largest figure since 1985, a 118% increase versus 2010-11"
2007,students-abroad-global,iranian_postgraduate_students_abroad_global,8000,persons,"WENR, citing British Council international student mobility data","Global (not US-specific) count of Iranian postgraduate students studying abroad"
2012,students-abroad-global,iranian_postgraduate_students_abroad_global,17000,persons,"WENR, citing British Council data","112.5% growth over the 2007 figure -- the second-fastest growth rate of any sending country after Saudi Arabia in this period"
2014,students-abroad-by-destination,iranian_students_in_turkey,4343,persons,"WENR, citing destination-country ministry/British Council data","Illustrates diversification of destinations beyond the US by the 2010s"
2014,students-abroad-by-destination,iranian_students_in_italy,3866,persons,"WENR",""
2012,students-abroad-by-destination,iranian_students_in_malaysia,8170,persons,"WENR","Malaysia emerged as a major destination given lower cost and, at the time, more accessible visa/relations context than Western countries"
