country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,computed,notes
IRN,Iran,1920,40,percent,ministry_of_war_share_of_general_budget_expenditure,Ministry of War share of general budget expenditure,iranica-fiscal-system-narrative-1921-1979,late 1920s,,
IRN,Iran,1920,~100,million rials,customs_and_tariff_revenue,Customs and tariff revenue,iranica-fiscal-system-narrative-1921-1979,late 1920s,,
IRN,Iran,1937,362,million rials,customs_and_tariff_revenue,Customs and tariff revenue,iranica-fiscal-system-narrative-1921-1979,,false,
IRN,Iran,1937,22.0195,current US$ (computed),customs_and_tariff_revenue.USD_NOMINAL,"Customs and tariff revenue (computed, nominal US$)",iranica-fiscal-system-narrative-1921-1979,,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1937=16.44, rebased CPI_1937=0.0032)"
IRN,Iran,1937,336.0363,constant 2015 US$ (computed),customs_and_tariff_revenue.USD_REAL_2015,"Customs and tariff revenue (computed, real 2015 US$)",iranica-fiscal-system-narrative-1921-1979,,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1937=16.44, rebased CPI_1937=0.0032)"
IRN,Iran,1920,~10,percent,customs_revenue_as_ratio_of_dutiable_imports,Customs revenue as ratio of dutiable imports,iranica-fiscal-system-narrative-1921-1979,1920-1925,,
IRN,Iran,1929,30,percent,customs_revenue_as_ratio_of_dutiable_imports,Customs revenue as ratio of dutiable imports,iranica-fiscal-system-narrative-1921-1979,,,
IRN,Iran,1930,~100,percent,customs_revenue_as_ratio_of_dutiable_imports,Customs revenue as ratio of dutiable imports,iranica-fiscal-system-narrative-1921-1979,late 1930s,,
IRN,Iran,1926,>70,percent,indirect_taxation_incl_customs_share_of_central_govt_revenue,Indirect taxation (incl. customs) share of central govt revenue,iranica-fiscal-system-narrative-1921-1979,1926-1941,,
IRN,Iran,1926,10-16,percent,oil_revenue_share_of_total_government_revenue,Oil revenue share of total government revenue,iranica-fiscal-system-narrative-1921-1979,1926-1941,,
IRN,Iran,1926,~10,percent,direct_taxes_share_of_total_government_revenue,Direct taxes share of total government revenue,iranica-fiscal-system-narrative-1921-1979,1926-1941,,
IRN,Iran,1928,11,percent per annum,real_government_expenditure_growth_rate,Real government expenditure growth rate,iranica-fiscal-system-narrative-1921-1979,1928-1937,,
IRN,Iran,1930,48,percent,development_project_share_of_total_government_expenditure,Development-project share of total government expenditure,iranica-fiscal-system-narrative-1921-1979,late 1930s,,
IRN,Iran,1930,23,percent,railways_share_of_government_expenditure,Railways share of government expenditure,iranica-fiscal-system-narrative-1921-1979,late 1930s,,
IRN,Iran,1930,6,percent,roads_share_of_government_expenditure,Roads share of government expenditure,iranica-fiscal-system-narrative-1921-1979,late 1930s,,
IRN,Iran,1930,19,percent,industry_and_mining_share_of_government_expenditure,Industry and mining share of government expenditure,iranica-fiscal-system-narrative-1921-1979,late 1930s,,
IRN,Iran,1930,9,percent per annum,wholesale_price_index_inflation_rate,Wholesale price index inflation rate,iranica-fiscal-system-narrative-1921-1979,1930s,,
IRN,Iran,1949,21,billion rials (approx. $650m),first_seven_year_plan_total_planned_expenditure,First Seven-Year Plan total planned expenditure,iranica-fiscal-system-narrative-1921-1979,,false,
IRN,Iran,1949,0.6462,current US$ (computed),first_seven_year_plan_total_planned_expenditure.USD_NOMINAL,"First Seven-Year Plan total planned expenditure (computed, nominal US$)",iranica-fiscal-system-narrative-1921-1979,,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1949=32.5, rebased CPI_1949=0.0299)"
IRN,Iran,1949,2.0863,constant 2015 US$ (computed),first_seven_year_plan_total_planned_expenditure.USD_REAL_2015,"First Seven-Year Plan total planned expenditure (computed, real 2015 US$)",iranica-fiscal-system-narrative-1921-1979,,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1949=32.5, rebased CPI_1949=0.0299)"
IRN,Iran,1949,68,percent,first_seven_year_plan_domestic_financing_share,First Seven-Year Plan domestic-financing share,iranica-fiscal-system-narrative-1921-1979,,,
IRN,Iran,1949,32,percent,first_seven_year_plan_world_bank_loan_share_planned_not_fully_disbursed,"First Seven-Year Plan World Bank loan share (planned, not fully disbursed)",iranica-fiscal-system-narrative-1921-1979,,,
