country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,computed,notes
IRN,Iran,1963,166949,persons,literacy_corpsmen_total,literacy corpsmen total,iran-white-revolution-corps:iranica-literacy-corps,1963-1979,,"[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004), citing interview with Gholam-reza Sadra'i (1997) and Menashri 1992 p.180]"
IRN,Iran,1969,33642,persons,literacy_corpswomen_total,literacy corpswomen total,iran-white-revolution-corps:iranica-literacy-corps,1969-1979,,[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004) -- corpswomen program began 1969]
IRN,Iran,1963,2200000,persons,children_taught_age6to12,children taught age6to12,iran-white-revolution-corps:iranica-literacy-corps,1963-1979,,[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004) -- taught to 2nd-grade level]
IRN,Iran,1963,1000000,persons,adults_taught,adults taught,iran-white-revolution-corps:iranica-literacy-corps,1963-1979,,[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004)]
IRN,Iran,1963,16,US_dollars,corpsman_monthly_pay_training_period,corpsman monthly pay training period,iran-white-revolution-corps:iranica-literacy-corps,,,"[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004), citing NARA Airgram 13 Jan 1963 n.A-46]"
IRN,Iran,1963,300-400,toman_(~50_USD),corpsman_monthly_pay_post_training,corpsman monthly pay post training,iran-white-revolution-corps:iranica-literacy-corps,1963-1979,,"[value: unparseable value, not converted [year = period_start; rate may have applied through period_end too -- exact within-range year not resolvable from source]] [source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004) -- varied by military rank]"
IRN,Iran,1969,450,toman,corpswoman_monthly_pay,corpswoman monthly pay,iran-white-revolution-corps:iranica-literacy-corps,1969-1979,false,[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004)]
IRN,Iran,1969,59.4059,current US$ (computed),corpswoman_monthly_pay.USD_NOMINAL,"corpswoman monthly pay (computed, nominal US$)",iran-white-revolution-corps:iranica-literacy-corps,1969-1979,true,"value: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573) (toman->rial x10 applied before conversion) [year = period_start; rate may have applied through period_end too -- exact within-range year not resolvable from source]"
IRN,Iran,1969,233.2843,constant 2015 US$ (computed),corpswoman_monthly_pay.USD_REAL_2015,"corpswoman monthly pay (computed, real 2015 US$)",iran-white-revolution-corps:iranica-literacy-corps,1969-1979,true,"value: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573) (toman->rial x10 applied before conversion) [year = period_start; rate may have applied through period_end too -- exact within-range year not resolvable from source]"
IRN,Iran,1963,100,toman_(13.33_USD),per_student_cost_literacy_corps_school,per student cost literacy corps school,iran-white-revolution-corps:iranica-literacy-corps,1963-1979,false,[source: Encyclopaedia Iranica LITERACY CORPS (Sabahi 2004) -- about one-third the per-pupil cost of a conventional school]
IRN,Iran,1963,13.2013,current US$ (computed),per_student_cost_literacy_corps_school.USD_NOMINAL,"per student cost literacy corps school (computed, nominal US$)",iran-white-revolution-corps:iranica-literacy-corps,1963-1979,true,"value: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512) (toman->rial x10 applied before conversion) [year = period_start; rate may have applied through period_end too -- exact within-range year not resolvable from source]"
IRN,Iran,1963,58.0173,constant 2015 US$ (computed),per_student_cost_literacy_corps_school.USD_REAL_2015,"per student cost literacy corps school (computed, real 2015 US$)",iran-white-revolution-corps:iranica-literacy-corps,1963-1979,true,"value: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512) (toman->rial x10 applied before conversion) [year = period_start; rate may have applied through period_end too -- exact within-range year not resolvable from source]"
