plan_number,plan_years_ah,plan_years_ce,category,indicator,unit,base_value,interim_value,final_value,avg_annual_growth_pct,value_type,notes,source_file,source_page,extraction_method
1,1368-1372,1990-1994,investment,Fixed capital-investment credits from general revenue,billion rials,,,8189.5,,5-year program total (law text),Stated directly in the ماده واحده clause; does not itemize by year.,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,investment,Fixed capital-investment credits from state companies'/profit-institutions' internal resources,billion rials,,,5666.8,,5-year program total (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,spending,Current (operating) credits from general revenue,billion rials,,,20776.5,,5-year program total (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,credit,"Annual bank-facility ceiling, FY1368",billion rials,,,1210,,annual ceiling (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,credit,"Annual bank-facility ceiling, FY1369",billion rials,,,1439,,annual ceiling (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,credit,"Annual bank-facility ceiling, FY1370",billion rials,,,1211,,annual ceiling (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,credit,"Annual bank-facility ceiling, FY1371",billion rials,,,623,,annual ceiling (law text),,برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,credit,"Annual bank-facility ceiling, FY1372",billion rials,,,,,annual ceiling (law text),"Left blank / dash in source table -- not a legibility failure, the source itself shows no figure for this year.",برنامه-اول.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
1,1368-1372,1990-1994,macro,GDP growth rate / detailed quantitative targets,,,,,,not located,"Plan's ماده واحده delegates quantitative targets to پیوست شماره (۱) و (۲) (Appendices 1 and 2), which were NOT independently opened this round (283-page scanned document) -- flagged as a real gap, not fabricated.",برنامه-اول.pdf,,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,"Annual investment-credit ceiling from general-revenue budget, FY1374",billion rials,,,36394,,annual ceiling (law text),,برنامه-دوم.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,"Annual investment-credit ceiling from general-revenue budget, FY1375",billion rials,,,41296,,annual ceiling (law text),,برنامه-دوم.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,"Annual investment-credit ceiling from general-revenue budget, FY1376",billion rials,,,46733,,annual ceiling (law text),,برنامه-دوم.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,"Annual investment-credit ceiling from general-revenue budget, FY1377",billion rials,,,52938,,annual ceiling (law text),,برنامه-دوم.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,"Annual investment-credit ceiling from general-revenue budget, FY1378",billion rials,,,60825,,annual ceiling (law text),,برنامه-دوم.pdf,rendered p.9,pdftoppm render 300-400dpi + visual read
