table,sample_period_start,sample_period_end,variable1_name,variable1_value_percent,variable2_name,variable2_value_percent,variable3_name,variable3_value,units_note
Table 2,1937,2010,real_output_per_capita_growth,2.54,real_oil_export_revenue_per_capita_growth,2.80,correlation,0.31,growth rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 2,1960,2010,real_output_per_capita_growth,2.14,real_oil_export_revenue_per_capita_growth,2.80,correlation,0.47,growth rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 2,1960,1978,real_output_per_capita_growth,5.48,real_oil_export_revenue_per_capita_growth,12.30,correlation,0.15,growth rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 2,1979,2010,real_output_per_capita_growth,0.16,real_oil_export_revenue_per_capita_growth,-2.84,correlation,0.53,growth rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 2,1988,2010,real_output_per_capita_growth,2.20,real_oil_export_revenue_per_capita_growth,3.63,correlation,0.33,growth rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 3,1937,2010,real_output_growth,4.96,inflation,12.69,correlation,-0.39,growth/inflation rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 3,1960,2010,real_output_growth,4.64,inflation,13.08,correlation,-0.39,growth/inflation rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 3,1960,1978,real_output_growth,8.37,inflation,6.18,correlation,-0.42,growth/inflation rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 3,1979,2010,real_output_growth,2.42,inflation,17.18,correlation,-0.14,growth/inflation rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 3,1988,2010,real_output_growth,3.82,inflation,17.65,correlation,-0.40,growth/inflation rates in percent per annum; correlation is Pearson correlation coefficient (unitless)
Table 4,1960,2010,oil_price_volatility,20.6,oil_production_volatility,34.8,oil_revenue_volatility,45.3,realized volatility in percent; all three variables are volatility measures (units_note reused for variable3)
Table 4,1960,1978,oil_price_volatility,11.3,oil_production_volatility,29.3,oil_revenue_volatility,35.5,realized volatility in percent; all three variables are volatility measures (units_note reused for variable3)
Table 4,1979,2010,oil_price_volatility,26.1,oil_production_volatility,38.0,oil_revenue_volatility,51.1,realized volatility in percent; all three variables are volatility measures (units_note reused for variable3)
Table 4,1988,2010,oil_price_volatility,27.9,oil_production_volatility,18.8,oil_revenue_volatility,35.3,realized volatility in percent; all three variables are volatility measures (units_note reused for variable3)
