STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1971,,36.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1972,,37.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1973,,37.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1974,,38.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1975,,38.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1976,,39.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1977,,38.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1978,,37.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1979,,35.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1980,,31.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,FRA,France,TUD,Trade union density,PT_SAL,Percentage of employees,1981,,26.4,,A,Normal value,0,Units,1,One
