commodity,value_1956_57,value_1957_58,value_1958_59,pct_1956_57,pct_1957_58,pct_1958_59,value_unit
Sugar,28.2,28.5,17.7,10.4,8.1,4.0,US dollar millions
Cotton textiles,16.2,17.6,17.0,6.0,5.0,3.8,US dollar millions
Silk textiles,17.5,16.7,19.9,6.5,4.8,4.5,US dollar millions
Woolen textiles,8.2,9.6,10.6,3.0,2.7,2.4,US dollar millions
Tires and tubes,8.3,12.0,15.3,3.1,3.4,3.4,US dollar millions
Machinery,25.0,31.2,49.3,9.2,8.9,11.1,US dollar millions
Chemicals and drugs,8.7,12.6,18.5,3.2,3.6,4.2,US dollar millions
Iron and steel,23.6,37.1,50.6,8.7,10.6,11.4,US dollar millions
Tea,12.5,21.8,15.6,4.6,6.2,3.5,US dollar millions
Edible oils and fats,8.1,5.4,4.4,3.0,1.5,1.0,US dollar millions
Paper products,7.4,5.6,9.3,2.7,1.6,2.1,US dollar millions
Automotive and spare parts,36.3,32.4,46.7,13.4,9.2,10.6,US dollar millions
Dyes,3.0,4.2,5.4,1.1,1.2,1.2,US dollar millions
Glassware,2.4,7.1,3.1,0.9,2.0,0.7,US dollar millions
Leather goods,1.1,1.4,0.3,0.4,0.4,0.1,US dollar millions
Lubricants,1.8,2.2,0.4,0.7,0.6,0.1,US dollar millions
"Hats, umbrellas and shoes",1.7,1.5,3.7,0.7,0.4,0.8,US dollar millions
Radios,2.5,3.3,6.3,0.9,0.9,1.4,US dollar millions
Other,58.2,101.1,147.3,21.5,28.9,33.7,US dollar millions
Total,270.7,351.3,441.4,100.0,100.0,100.0,US dollar millions
