country_iso3,country_name,year,date,percentile_group,wid_variable_code,value,data_quality_score,source_dataset
DEU,Germany,1800,1800-01-01,p0p100,anninc999i,1928.0,4.0,wid-world
DEU,Germany,1800,1800-01-01,p0p100,anninc992i,3410.6,4.0,wid-world
DEU,Germany,1801,1801-01-01,p0p100,anninc999i,1921.8,4.0,wid-world
DEU,Germany,1801,1801-01-01,p0p100,anninc992i,3399.6,4.0,wid-world
DEU,Germany,1802,1802-01-01,p0p100,anninc999i,1939.0,4.0,wid-world
DEU,Germany,1802,1802-01-01,p0p100,anninc992i,3430.0,4.0,wid-world
DEU,Germany,1803,1803-01-01,p0p100,anninc999i,1946.2,4.0,wid-world
DEU,Germany,1803,1803-01-01,p0p100,anninc992i,3442.9,4.0,wid-world
DEU,Germany,1804,1804-01-01,p0p100,anninc999i,1952.4,4.0,wid-world
DEU,Germany,1804,1804-01-01,p0p100,anninc992i,3453.7,4.0,wid-world
DEU,Germany,1805,1805-01-01,p0p100,anninc999i,1862.5,4.0,wid-world
DEU,Germany,1805,1805-01-01,p0p100,anninc992i,3294.8,4.0,wid-world
DEU,Germany,1806,1806-01-01,p0p100,anninc999i,1876.9,4.0,wid-world
DEU,Germany,1806,1806-01-01,p0p100,anninc992i,3320.1,4.0,wid-world
DEU,Germany,1807,1807-01-01,p0p100,anninc999i,1879.2,4.0,wid-world
DEU,Germany,1807,1807-01-01,p0p100,anninc992i,3324.2,4.0,wid-world
DEU,Germany,1808,1808-01-01,p0p100,anninc999i,1940.1,4.0,wid-world
DEU,Germany,1808,1808-01-01,p0p100,anninc992i,3432.0,4.0,wid-world
DEU,Germany,1809,1809-01-01,p0p100,anninc999i,1984.1,4.0,wid-world
DEU,Germany,1809,1809-01-01,p0p100,anninc992i,3509.8,4.0,wid-world
DEU,Germany,1810,1810-01-01,p0p100,anninc999i,2070.6,4.0,wid-world
DEU,Germany,1810,1810-01-01,p0p100,anninc992i,3662.7,4.0,wid-world
DEU,Germany,1811,1811-01-01,p0p100,anninc999i,2046.5,4.0,wid-world
DEU,Germany,1811,1811-01-01,p0p100,anninc992i,3620.2,4.0,wid-world
DEU,Germany,1812,1812-01-01,p0p100,anninc999i,1986.7,4.0,wid-world
DEU,Germany,1812,1812-01-01,p0p100,anninc992i,3514.5,4.0,wid-world
DEU,Germany,1813,1813-01-01,p0p100,anninc999i,1901.2,4.0,wid-world
DEU,Germany,1813,1813-01-01,p0p100,anninc992i,3363.2,4.0,wid-world
DEU,Germany,1814,1814-01-01,p0p100,anninc999i,2014.4,4.0,wid-world
DEU,Germany,1814,1814-01-01,p0p100,anninc992i,3563.5,4.0,wid-world
DEU,Germany,1815,1815-01-01,p0p100,anninc999i,2067.9,4.0,wid-world
DEU,Germany,1815,1815-01-01,p0p100,anninc992i,3658.1,4.0,wid-world
DEU,Germany,1816,1816-01-01,p0p100,anninc999i,1972.4,4.0,wid-world
DEU,Germany,1816,1816-01-01,p0p100,anninc992i,3489.1,4.0,wid-world
DEU,Germany,1817,1817-01-01,p0p100,anninc999i,1882.9,4.0,wid-world
DEU,Germany,1817,1817-01-01,p0p100,anninc992i,3330.7,4.0,wid-world
DEU,Germany,1818,1818-01-01,p0p100,anninc999i,2014.0,4.0,wid-world
DEU,Germany,1818,1818-01-01,p0p100,anninc992i,3562.7,4.0,wid-world
DEU,Germany,1819,1819-01-01,p0p100,anninc999i,2111.0,4.0,wid-world
DEU,Germany,1819,1819-01-01,p0p100,anninc992i,3734.3,4.0,wid-world
DEU,Germany,1820,1820-01-01,p99p100,shweal999j,0.5151,0.0,wid-world
DEU,Germany,1820,1820-01-01,p99p100,sptinc999j,0.1769,0.0,wid-world
DEU,Germany,1820,1820-01-01,p99p100,sptinc992j,0.1769,0.0,wid-world
DEU,Germany,1820,1820-01-01,p90p100,sptinc999j,0.4705,0.0,wid-world
DEU,Germany,1820,1820-01-01,p99p100,shweal992j,0.5151,0.0,wid-world
DEU,Germany,1820,1820-01-01,p90p100,shweal999j,0.8725,0.0,wid-world
DEU,Germany,1820,1820-01-01,p0p100,anninc999i,2200.9,4.0,wid-world
DEU,Germany,1820,1820-01-01,p90p100,sptinc992j,0.4705,0.0,wid-world
DEU,Germany,1820,1820-01-01,p90p100,shweal992j,0.8725,0.0,wid-world
DEU,Germany,1820,1820-01-01,p0p100,anninc992i,3893.3,4.0,wid-world
DEU,Germany,1821,1821-01-01,p0p100,anninc999i,2222.0,4.0,wid-world
DEU,Germany,1821,1821-01-01,p0p100,anninc992i,3930.7,4.0,wid-world
DEU,Germany,1822,1822-01-01,p0p100,anninc999i,2205.7,4.0,wid-world
DEU,Germany,1822,1822-01-01,p0p100,anninc992i,3901.9,4.0,wid-world
DEU,Germany,1823,1823-01-01,p0p100,anninc999i,2187.5,4.0,wid-world
DEU,Germany,1823,1823-01-01,p0p100,anninc992i,3869.6,4.0,wid-world
DEU,Germany,1824,1824-01-01,p0p100,anninc999i,2302.2,4.0,wid-world
DEU,Germany,1824,1824-01-01,p0p100,anninc992i,4072.6,4.0,wid-world
