country_iso3,country_name,indicator_id,indicator_label,year,date,value,unit,source_dataset,source_file
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1800,1800-01-01,1484.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1820,1820-01-01,1591.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1820,1820-01-01,534.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1850,1850-01-01,1994.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1850,1850-01-01,1100.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1860,1860-01-01,2160.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1870,1870-01-01,2340.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1870,1870-01-01,1796.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1875,1875-01-01,2606.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1876,1876-01-01,2611.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1877,1877-01-01,2820.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1878,1878-01-01,2619.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1879,1879-01-01,2664.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1880,1880-01-01,2557.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1881,1881-01-01,2541.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1882,1882-01-01,3108.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1883,1883-01-01,3373.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1884,1884-01-01,3486.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1885,1885-01-01,3904.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1886,1886-01-01,3771.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1887,1887-01-01,3841.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1888,1888-01-01,4219.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1889,1889-01-01,4288.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1890,1890-01-01,3851.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1890,1890-01-01,3376.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1891,1891-01-01,3631.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1892,1892-01-01,4251.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1893,1893-01-01,4409.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1894,1894-01-01,4968.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1895,1895-01-01,5384.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1896,1896-01-01,5716.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1897,1897-01-01,4500.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1898,1898-01-01,4741.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1899,1899-01-01,5412.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1900,1900-01-01,4583.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1900,1900-01-01,4693.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1901,1901-01-01,4591.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1901,1901-01-01,4873.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1902,1902-01-01,4331.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1902,1902-01-01,5060.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1903,1903-01-01,4769.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1903,1903-01-01,5254.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1904,1904-01-01,5086.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1904,1904-01-01,5455.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1905,1905-01-01,5545.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1905,1905-01-01,5664.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1906,1906-01-01,5608.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1906,1906-01-01,5881.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1907,1907-01-01,5514.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1907,1907-01-01,6107.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1908,1908-01-01,5829.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1908,1908-01-01,6341.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1909,1909-01-01,5896.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1909,1909-01-01,6584.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1910,1910-01-01,6092.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1910,1910-01-01,6836.0,thousands,maddison-project,mpd2023_web.xlsx
