correlation_id,chart_id,chart_title,event_date,event_title,event_source_file,relationship_type,confidence,direction,lag_description,justification,caveats
pcc-001,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1951-03-15,Oil industry nationalized,timeline/iran.csv,causal,5,positive,"gradual over 15+ years, culminating in 1951","This is a case where the chart's own trend is the CAUSE of the policy event, not its effect. The data shows UK tax receipts from AIOC's Persian operations overtaking Iran's own royalty income in the late 1940s (UK Taxes rose from GBP 2.98m in 1946 to GBP 28.31m in 1948, while Iran's royalty over the same two years rose only from GBP 7.13m to GBP 9.17m) -- Britain was by 1948 taxing AIOC's Persian profits more heavily than Persia itself was earning from them. That widening wedge is the textbook grievance historians cite as fueling the nationalist movement that culminated in the Majlis nationalization vote.","Reverse-direction correlation (data trend explains the policy, not vice-versa) -- read the confidence score as confidence in the historical mechanism, not in a chart-visible inflection after the event. The 1949 supplemental agreement (a belated British offer of better terms) was negotiated but never ratified; that near-miss isn't its own timeline row but is part of the same causal chain and is visible in this chart's 1949 notes field."
pcc-002,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1954-08-19,Consortium Agreement,timeline/iran.csv,context,2,none,n/a (chart ends before this event),"The chart's own data stops in 1951 ('AIOC operations in Iran ended this year' per the underlying notes) -- the abrupt series endpoint is itself the visible fingerprint of nationalization. This row exists to flag that the successor revenue regime the 1954 Consortium Agreement created is captured in the sibling chart pahlavi__consortium_disbursements_1954_62, not in this one; readers comparing the two charts side by side should not expect a smooth series across the 1951-54 gap.","Not an inflection-point correlation in the usual sense -- included for narrative continuity between two related archival charts, not as an independent data-driven finding."
pcc-003,pahlavi__consortium_disbursements_1954_62,"Consortium Disbursements in Iran incl. Aggregate Oil-Sector Wage Bill, 1954-1962",1954-08-19,Consortium Agreement,timeline/iran.csv,causal,5,positive,"immediate, then compounding growth through the decade","This chart's entire dataset exists because of this agreement -- disbursements start at GBP 858,295 for the partial Oct-Dec 1954 period (Consortium operations just beginning post-crisis) and reach a GBP 153.4m grand total by 1962, as production, posted prices and the new profit-sharing structure scaled up year over year (GBP 53.9m in 1955, 77.0m in 1956, 132.4m in 1960).","The chart's own 'percent of GNP' sub-metric shows disbursements growing slightly SLOWER than the overall economy by the early 1960s (9.9% of GNP in 1960 vs 8.7% in 1961), suggesting the non-oil economy was beginning to diversify even as absolute oil disbursements kept rising -- a nuance a simple 'oil deal correlates with oil revenue' read would miss."
pcc-004,pahlavi__consortium_disbursements_1954_62,"Consortium Disbursements in Iran incl. Aggregate Oil-Sector Wage Bill, 1954-1962",1955-09-01,Second Seven-Year Plan launched; First Seven-Year Plan,timeline/iran.csv,contributing,3,positive,"concurrent, multi-year","The chart's own sub-metric puts Consortium disbursements at roughly 40-44% of estimated government expenditure through 1960-62, directly financing the oil-revenue-dependent Second Plan's dam and infrastructure investment (Karaj, Sefid Rud, Dez, Khuzestan Development Service); the wage-bill line item (GBP 15.6m in 1955 rising to GBP 28.3m by 1962) also tracks the parallel expansion of Iranian oil-sector employment that plan-era investment coincided with.","Not fully separable from the 1954 Consortium Agreement row above -- same underlying causal root (the 1954 deal), included here as a more specific fiscal-policy linkage rather than an independent cause."
pcc-005,pahlavi__oil_revenue_by_allocation_1955_63,"Oil Revenue by Allocation (Budget/NIOC/Plan Org/B.P.C.), 1955/56-1962/63",1955-09-01,Second Seven-Year Plan launched; First Seven-Year Plan,timeline/iran.csv,causal,4,positive,immediate,"This chart's entire classification scheme (splitting oil revenue into Budget vs NIOC vs Plan Organization vs B.P.C. shares) exists because the Second Plan needed a formal allocation mechanism for oil-financed development spending. The Plan Organization consistently receives the single largest allocation share -- $72.6m of $140.7m total in 1956/57 (52%), rising to an estimated $162m of $302m by 1961/62 -- confirming oil revenue's role as the Plan's primary funding source.","1959/60-1962/63 figures are explicitly labeled Plan Organization ESTIMATES (assuming 8%/yr growth), not verified actuals -- the smooth $260m to $302m progression for those years reflects a modeling assumption baked into the original 1960 World Bank source table, not confirmed receipts."
pcc-006,pahlavi__oil_exports_revenues_by_company_1963_71,"Oil Export Volume & Revenue by Paying Company, 1963/64-1970/71",1971-02-14,Tehran Agreement raises oil prices,timeline/iran.csv,causal,4,positive,immediate (effective within the 1970/71 fiscal year),"Total oil revenue by paying company rose from $964.6m (1969/70) to a preliminary $1,164.0m in 1970/71 -- a 20.7% jump, larger than the roughly 15%/yr trend of the preceding several years -- consistent with the Feb 1971 Tehran Agreement's tax-rate increase (50% to 55%) and 21% posted-price rise with scheduled annual increases through 1975.","The 1970/71 row is explicitly labeled 'preliminary estimate, not final actual' in the underlying source, so the exact size of the acceleration is provisional. Export VOLUME was also on a steady secular uptrend since the 1954 Consortium Agreement (69.8m tonnes in 1963/64 to 183.7m tonnes in 1970/71), so some of the revenue growth is simple volume growth, not solely the 1971 price effect."
pcc-007,pahlavi__oil_exports_revenues_by_company_1963_71,"Oil Export Volume & Revenue by Paying Company, 1963/64-1970/71",1973-07-19,Sale and Purchase Agreement replaces Consortium,timeline/iran.csv,context,2,positive,"anticipatory, 2-5 years before the formal 1973 agreement","The chart shows NIOC's own directly-received revenue share rising from effectively zero before 1968/69 to $5.2m (1968/69), $19.0m (1969/70) and a preliminary $30.0m (1970/71) even while the Consortium still held operating control -- an early, gradual build-up of NIOC's independent financial role that foreshadows the 1973 agreement under which NIOC assumed full ownership and operation.","Chart data ends in 1970/71, more than two years before the 1973 agreement itself -- this is a forward-looking/anticipatory link rather than a same-window inflection, so confidence is kept low."
pcc-008,owid__oil_production_volume,Oil Production (physical volume),1951-03-15,Oil industry nationalized,timeline/iran.csv,causal,5,negative,"immediate, deepening over 2 years","Physical oil production collapsed from an index value of 375.2 (1950) to 196.4 (1951, -47.7%) to just 15.8 (1952, -95.8% vs. 1950) and 15.6 (1953) -- production essentially stopped as the Western-enforced boycott of Iranian oil following nationalization made it impossible for Iran to sell what it produced.","OWID's materialized data.csv file for this chart has a blank 'unit' column -- treated here as an internally consistent OWID physical-volume index (likely TWh-equivalent per OWID's standard energy methodology) and cited only via year-over-year percent changes, not absolute-unit claims, since the exact unit isn't confirmed in the project's own materialized file."
pcc-009,owid__oil_production_volume,Oil Production (physical volume),1954-08-19,Consortium Agreement,timeline/iran.csv,causal,5,positive,"immediate, then rapid multi-year recovery","Production rebounded from the 1952-53 trough (15.6-15.8) to 40.7 (1954, the agreement's signing year) to 191.1 (1955, +369% in one year) and 306.3 (1956) as the new consortium of Western oil majors resumed and rapidly scaled up Iranian operations -- production surpassed its pre-nationalization 1950 peak (375.2) by 1957 (418.6).",Same unit caveat as the row above.
pcc-010,owid__oil_production_volume,Oil Production (physical volume),1973-10-16,Oil price shock,timeline/iran.csv,coincidental,2,none,n/a -- physical volume barely moved,"Worth flagging precisely because it is a NON-finding: physical production rose only from 3435.2 (1973) to 3526.2 (1974), just +2.6%, despite oil-dollar REVENUE roughly tripling that same year per the sibling revenue charts. The 1973-74 oil shock was almost entirely a price effect for Iran, not a volume effect -- production was already near its practical ceiling.","Included deliberately to avoid the mechanical assumption that 'big price/revenue event = big chart move' -- for THIS specific physical-volume chart, the honest read is that the event left little visible trace, which is itself informative."
