chart_id,title,category,primary_source,alt_sources,n_unit_variants_merged,underlying_codes,status
wdi__DT.NFL.FAOG,"Net official flows from UN agencies, FAO (current US$)",External Debt,wdi,,1,DT.NFL.FAOG.CD,new
wdi__CM.MKT.LCAP.GD,Market capitalization of listed domestic companies (% of GDP),Capital Markets,wdi,,1,CM.MKT.LCAP.GD.ZS,new
wdi__SE.PRM.PRIV,"School enrollment, primary, private (% of total primary)",Education,wdi,,1,SE.PRM.PRIV.ZS,new
wdi__BX.TRF.PWKR.CD,"Personal remittances, received (current US$)",Balance of Payments (Receipts),wdi,,1,BX.TRF.PWKR.CD.DT,new
wdi__TX.VAL.MRCH.R5,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Trade (Exports),wdi,,1,TX.VAL.MRCH.R5.ZS,new
wdi__SP.POP.TECH.RD,Technicians in R&D (per million people),Demographics & Population,wdi,,1,SP.POP.TECH.RD.P6,new
wdi__BX.GSR.TRAN,"Transport services (% of service exports, BoP)",Balance of Payments (Receipts),wdi,,1,BX.GSR.TRAN.ZS,new
wdi__SL.TLF.CACT,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.TLF.CACT.ZS,new
wdi__SE.SEC.UNER.LO.FE,"Adolescents out of school, female (% of female lower secondary school age)",Education,wdi,,1,SE.SEC.UNER.LO.FE.ZS,new
wdi__FI.RES.TOTL,Total reserves in months of imports,Financial Sector (Interest Rates),wdi,,2,FI.RES.TOTL.MO|FI.RES.TOTL.CD,new
wdi__ST.INT.TVLX,"International tourism, expenditures for travel items (current US$)",Tourism & Trade Services,wdi,,1,ST.INT.TVLX.CD,new
wdi__EN.GHG.ALL.PC.CE,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Environment,wdi,,1,EN.GHG.ALL.PC.CE.AR5,new
wdi__SL.UEM.NEET.ME,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.UEM.NEET.ME.ZS,new
wdi__DT.NFL.PROP,"PPG, other private creditors (NFL, current US$)",External Debt,wdi,,1,DT.NFL.PROP.CD,new
wdi__GC.REV.XGRT,"Revenue, excluding grants (current LCU)",Government Finance,wdi,,1,GC.REV.XGRT.CN,new
wdi__TM.VAL.MMTL.ZS,Ores and metals imports (% of merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MMTL.ZS.UN,new
wdi__TM.QTY.MRCH.XD,Import volume index (2015 = 100),Trade (Imports),wdi,,1,TM.QTY.MRCH.XD.WD,new
wdi__GC.NFN.TOTL,Net investment in nonfinancial assets (current LCU),Government Finance,wdi,,1,GC.NFN.TOTL.CN,new
wdi__BM.GSR.TOTL,"Imports of goods, services and primary income (BoP, current US$)",Balance of Payments (Payments),wdi,,1,BM.GSR.TOTL.CD,new
wdi__NY.ADJ.NNTY.KD,Adjusted net national income (annual % growth),Macro / National Accounts,wdi,,1,NY.ADJ.NNTY.KD.ZG,new
wdi__SL.TLF.ACTI.1524.MA,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.TLF.ACTI.1524.MA.ZS,new
wdi__ER.PTD.TOTL,Terrestrial and marine protected areas (% of total territorial area),Environment (Land & Resources),wdi,,1,ER.PTD.TOTL.ZS,new
wdi__SI.SPR.PCAP,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",Poverty & Inequality,wdi,,1,SI.SPR.PCAP.ZG,new
wdi__SH.XPD.GHED.PP,"Domestic general government health expenditure per capita, PPP (current international $)",Health,wdi,,1,SH.XPD.GHED.PP.CD,new
wdi__SP.POP.4044.MA,"Population ages 40-44, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.4044.MA.5Y,new
wdi__SL.TLF.BASC.FE,"Labor force with basic education, female (% of female working-age population with basic education)",Labor & Employment,wdi,,1,SL.TLF.BASC.FE.ZS,new
wdi__NV.SRV.TOTL,"Services, value added (% of GDP)",Industry / Value Added by Sector,wdi,,5,NV.SRV.TOTL.KN|NV.SRV.TOTL.KD|NV.SRV.TOTL.CN|NV.SRV.TOTL.ZS|NV.SRV.TOTL.CD,new
wdi__SE.SEC.NENR,"School enrollment, secondary, male (% net)",Education,wdi,,2,SE.SEC.NENR.FE|SE.SEC.NENR.MA,new
wdi__SP.M18.2024.FE,Women who were first married by age 18 (% of women ages 20-24),Demographics & Population,wdi,,1,SP.M18.2024.FE.ZS,new
wdi__SL.AGR.EMPL.FE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.AGR.EMPL.FE.ZS,new
wdi__ST.INT.TVLR,"International tourism, receipts for travel items (current US$)",Tourism & Trade Services,wdi,,1,ST.INT.TVLR.CD,new
wdi__TT.PRI.MRCH.XD,Net barter terms of trade index (2015 = 100),Terms of Trade,wdi,,1,TT.PRI.MRCH.XD.WD,new
wdi__EN.GHG.CO2.TR.MT.CE,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.TR.MT.CE.AR5,new
