year,phase,metric,value,unit,source,notes
1950,pre-reform,crown_land_distributed_to_homeless_families,500000,hectares,"Wikipedia: Iranian Land Reform (citing pre-1962 crown-land distribution)","Early 1950s Shah-initiated distribution of crown lands, predates the 1962 White Revolution land reform law; recorded as a 'circa 1950s' anchor, not a precise single year"
1950,pre-reform,crown_land_recipient_families,30000,families,"Wikipedia: Iranian Land Reform","Same crown-land distribution episode as above row"
1960,pre-reform,agricultural_land_share_large_landowners,50,percent_of_total_ag_land,"Wikipedia: Iranian Land Reform","Baseline land-ownership structure just before the 1962 reform law; approximate, undated precisely in source (treated as ~1960 baseline)"
1960,pre-reform,agricultural_land_share_charitable_religious_endowments_awqaf,20,percent_of_total_ag_land,"Wikipedia: Iranian Land Reform","See note above row"
1960,pre-reform,agricultural_land_share_state_or_crown,10,percent_of_total_ag_land,"Wikipedia: Iranian Land Reform","See note above row"
1960,pre-reform,agricultural_land_share_free_farmers,20,percent_of_total_ag_land,"Wikipedia: Iranian Land Reform","See note above row"
1960,pre-reform,villages_recorded_for_land_division,18000,villages,"Wikipedia: Iranian Land Reform","Baseline count of villages identified as subject to land division under the reform"
1962,phase-1,land_reform_law_cabinet_approval_date,1962-01-09,date,"WebSearch synthesis citing Ann K.S. Lambton's contemporaneous study of the 1962-66 agrarian reform process; Britannica 'The White Revolution'","Law approved by the cabinet 9 January 1962 under PM Ali Amini / Agriculture Minister Hassan Arsanjani; marks the start of land reform Phase 1 (sometimes periodized as 1962-1968 in the literature, followed by an 'agrarian reform' phase 1968-1972 correlated with the Fourth Development Plan's 1967 policy shift toward large mechanized farms)"
1963,phase-1,white_revolution_referendum_votes_for,5598711,votes,"Wikipedia: Iranian Land Reform","26 January 1963 national referendum ratifying the six-point White Revolution program (of which land reform was the centerpiece)"
1963,phase-1,white_revolution_referendum_votes_against,4115,votes,"Wikipedia: Iranian Land Reform","Same referendum as above row"
1962,phase-1-to-3,agricultural_tractors_in_use,6000,tractors,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Start-of-reform baseline, contrasts with 1977 figure below"
1962,phase-1-to-3,agricultural_combines_in_use,900,combines,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Start-of-reform baseline"
1971,phase-1-to-3-cumulative,land_redistributed_estimate_A,1500000,hectares,"Wikipedia: Iranian Land Reform","LOWER estimate in the literature -- redistributed to smallholder peasant families by 1971. See land_redistributed_estimate_B for a much larger figure covering all three phases through 1978; both are recorded per bookkeeping.md's contested-estimate policy rather than resolved to one number. The gap reflects differing scope: estimate A appears to cover only the initial owner-occupier land-transfer phase, while estimate B (IranNamag, an academic source) covers the full 1962-78 process including later cooperative/corporate-farm mechanisms."
1971,phase-1-to-3-cumulative,land_reform_beneficiary_families_estimate_A,800000,families,"Wikipedia: Iranian Land Reform","LOWER estimate, paired with estimate_A hectare figure above"
1978,phase-1-to-3-cumulative,land_redistributed_estimate_B,6000000,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78' (academic, peer-reviewed-adjacent)","UPPER estimate (range given as 6-7 million hectares in source); see estimate_A note. Represents 52-62% of Iran's total agricultural land"
1978,phase-1-to-3-cumulative,land_redistributed_estimate_B_upper_bound,7000000,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Upper bound of the 6-7 million hectare range"
1978,phase-1-to-3-cumulative,land_reform_beneficiary_sharecroppers_tenants_estimate_B_lower,1800000,persons,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","~92% of Iran's total sharecroppers/tenants by this point, per source"
1978,phase-1-to-3-cumulative,land_reform_beneficiary_sharecroppers_tenants_estimate_B_upper,1900000,persons,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Upper bound of the 1.8-1.9 million range"
1975,mid-1970s-snapshot,beneficiary_share_holding_under_2ha,42.6,percent_of_beneficiaries,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Distribution of post-reform landholding sizes, mid-1970s snapshot; this group held only 4.3% of arable land despite being 42.6% of beneficiaries"
1975,mid-1970s-snapshot,land_share_holding_under_2ha,4.3,percent_of_arable_land,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Paired with row above"
1975,mid-1970s-snapshot,beneficiary_share_holding_2_to_10ha,39.1,percent_of_beneficiaries,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,land_share_holding_2_to_10ha,28.6,percent_of_arable_land,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,beneficiary_share_holding_10_to_50ha,17.3,percent_of_beneficiaries,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,land_share_holding_10_to_50ha,45.7,percent_of_arable_land,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,avg_hectares_per_peasant_national,5.05,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","National average across the nine provinces sampled in the source study"
1975,mid-1970s-snapshot,avg_hectares_per_peasant_gilan_province,1.1,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Lowest of the nine provinces -- reflects Gilan's rice-paddy smallholding pattern"
1975,mid-1970s-snapshot,avg_hectares_per_peasant_isfahan_province,2.4,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,avg_hectares_per_peasant_fars_province,4.1,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1975,mid-1970s-snapshot,avg_hectares_per_peasant_hamadan_province,8.9,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Highest of the nine provinces -- reflects Hamadan's dry-farming large-plot pattern"
1978,farm-corporations,farm_corporations_established,89,corporations,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","'Farm corporations' (sherkat-e sahami-e zera'i) consolidated smallholder plots into shareholding agribusiness units, a later-stage (post-1967) land-reform-adjacent policy distinct from the initial redistribution"
1978,farm-corporations,farm_corporation_villages_encompassed,813,villages,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1978,farm-corporations,farm_corporation_land_covered,318000,hectares,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'",""
1978,farm-corporations,farm_corporation_peasant_proprietors_involved,185000,persons,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","These peasants exchanged individual land titles for corporation shares -- a controversial re-concentration some scholars see as partially reversing the original 1962 redistribution's individual-ownership goal"
1978,agribusiness,agribusiness_companies_established,37,companies,"IranNamag: 'Land Reform and Agrarian Transformation in Iran, 1962-78'","Large-scale mechanized agribusiness companies (distinct from farm corporations), often foreign-joint-venture, favored under the Fourth Plan's 1967 policy shift"
